claim_id,entity,claim_type,claim,source_url,source_confidence,review_action,main_narrative_status,main_narrative_rule,last_checked_date
CL-0024,Moises,Ownership / investors,Private,https://moises.ai/,Medium,Validate with official/company/investor database before investor-facing use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0030,Pickup Music,Ownership / investors,"Pickup Music, Inc.",https://www.pickupmusic.com/,Medium,Validate with official/company/investor database before investor-facing use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0057,Suno / Udio / RIAA,Market move,2024-06-24: Major record companies filed copyright infringement cases against Suno and Udio.,https://www.riaa.com/record-companies-bring-landmark-cases-for-responsible-ai-againstsuno-and-udio-in-boston-and-new-york-federal-courts-respectively/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0058,European Union AI Act,Market move,"2024-08-01: The EU AI Act entered into force, with transparency rules for AI-generated content and GPAI obligations phasing in.",https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0059,TikTok Music,Market move,2024-09-24: TikTok announced it would shut down TikTok Music and focus on music discovery in the main TikTok app.,https://www.businessinsider.com/tiktok-abandoning-plan-to-challenge-spotify-apple-in-music-streaming-2024-9,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0060,Duolingo / Loog,Market move,2024-09-25: Duolingo Music was linked to a beginner-friendly portable piano product with Loog.,https://www.theverge.com/2024/9/25/24253932/duolingo-loog-portable-green-piano-music-lessons,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0061,YouTube Dream Track,Market move,2024-11-12: YouTube tested AI restyling of licensed songs for Shorts using Dream Track technology.,https://www.theverge.com/2024/11/12/24294891/youtube-ai-restyle-music-creators,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0062,Microsoft TakeLessons,Market move,"2024-11-15: Microsoft's TakeLessons marketplace closed, with account access ending in November 2024.",https://learn.microsoft.com/en-us/takelessons/takelessons-closure-faq,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0063,Music.AI / Moises,Market move,2025-01-22: Music.AI raised a $40M Series A and reported Moises at 50M users.,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0064,U.S. Copyright Office,Market move,2025-01-29: The U.S. Copyright Office published Part 2 of its AI report on copyrightability of AI outputs.,https://www.copyright.gov/ai/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
