"priority","source_id","title","type","tier","access_status","used_by","url","quality_note","recommended_action"
"Medium","research_yousician_foundational","Foundational Knowledge of Yousician Users","Internal research","High","auth-required","","https://yousician.atlassian.net/wiki/spaces/Research/pages/6040158226","Internal Confluence source. Trusted when authenticated, but not publicly verifiable from this artifact.","Confirm authenticated access or add public backup."
"Medium","research_guitartuna_foundational","Foundational Knowledge of GuitarTuna Users","Internal research","High","auth-required","BandLab","https://yousician.atlassian.net/wiki/spaces/Research/pages/6040977421","Internal Confluence source. Trusted when authenticated, but not publicly verifiable from this artifact.","Confirm authenticated access or add public backup."
"Medium","research_market_cross_product","Market Research for both Yousician and GuitarTuna","Internal research","High","auth-required","Simply | Ultimate Guitar | Fender Play | Fender | Marty Music | YouTube","https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456","Internal Confluence source. Trusted when authenticated, but not publicly verifiable from this artifact.","Confirm authenticated access or add public backup."
"Medium","ultimate_guitar_about","Ultimate Guitar About","Official product","High","access-restricted","Ultimate Guitar","https://www.ultimate-guitar.com/about/","Automated URL check returned 403; manually open before board-ready use.","Manual browser review before board use; add backup if needed."
"Medium","fender_play","Fender Play","Official product","High","access-restricted","Fender Play | Fender","https://www.fender.com/play","Automated URL check returned 403; manually open before board-ready use.","Manual browser review before board use; add backup if needed."
"Normal","flowkey_google_play","flowkey on Google Play","App store","Medium","verified","Flowkey","https://play.google.com/store/apps/details?hl=en_US&id=com.flowkey.app","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","skoove_google_play","Skoove on Google Play","App store","Medium","verified","Skoove","https://play.google.com/store/apps/details?hl=en_US&id=com.skoove.piano","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Medium","justinguitar_site","JustinGuitar","Official product","High","access-restricted","JustinGuitar","https://www.justinguitar.com/","Automated URL check returned 403; manually open before board-ready use.","Manual browser review before board use; add backup if needed."
"Normal","artie_app_store","Artie on App Store","App store","Medium","verified","Artie Piano","https://apps.apple.com/us/app/artie-learn-piano-with-ai/id6746756746","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","bandlab_app_store","BandLab on App Store","App store","Medium","verified","BandLab","https://apps.apple.com/us/app/bandlab-music-maker-beats/id968585775","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","songsterr_app_store","Songsterr on App Store","App store","Medium","verified","Songsterr","https://apps.apple.com/us/app/songsterr-tabs-chords/id399211291","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","splice_ai_tools_news","Splice generative AI tools coverage","News / market signal","Medium","verified","Splice","https://www.musicradar.com/music-tech/splice-launches-generative-ai-tools-that-fairly-compensate-sample-creators","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","garageband_app_store","GarageBand on App Store","App store","Medium","verified","GarageBand","https://apps.apple.com/us/app/garageband/id408709785","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","suno_app_store","Suno on App Store","App store","Medium","verified","Suno","https://apps.apple.com/us/app/suno-ai-songs-music/id6480136315","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","udio_app_store","Udio on App Store","App store","Medium","verified","Udio","https://apps.apple.com/us/app/udio-ai-music-maker-studio/id6511211165","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","moises_app_store","Moises on App Store","App store","Medium","verified","Moises","https://apps.apple.com/us/app/moises-the-musicians-app/id1515796612","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","moises_google_play","Moises on Google Play","App store","Medium","verified","Moises","https://play.google.com/store/apps/details?hl=en_US&id=ai.moises","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","moises_musicfirst","Moises for education via MusicFirst","Partner / education","Medium","verified","Moises","https://www.musicfirst.com/software/moises","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Medium","kahoot_ai_support","Kahoot AI tools support","Official support","High","access-restricted","Kahoot","https://support.kahoot.com/hc/en-us/articles/17152945038355-How-to-use-Kahoot-AI-tools","Automated URL check returned 403; manually open before board-ready use.","Manual browser review before board use; add backup if needed."
"Normal","brilliant_google_play","Brilliant on Google Play","App store","Medium","verified","Brilliant","https://play.google.com/store/apps/details?hl=en_US&id=org.brilliant.android","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","marty_music_site","Marty Music","Official product","Medium","verified","Marty Music","https://www.martymusic.com/","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","rousseau_youtube","Rousseau YouTube channel","Audience / creator","Medium","verified","Rousseau","https://www.youtube.com/@Rousseau","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","accel_atoms","Accel Atoms portfolio","Investor","Medium","verified","Accel","https://atoms.accel.com/portfolio","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","techcrunch_home","TechCrunch","News / market signal","Medium","verified","TechCrunch","https://techcrunch.com/","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Medium","guitar_tricks_official","Guitar Tricks","Official product","High","access-restricted","Guitar Tricks","https://www.guitartricks.com/","Automated URL check returned 403; manually open before board-ready use.","Manual browser review before board use; add backup if needed."
"Normal","guitar_tricks_google_play","Guitar Tricks on Google Play","App store","Medium","verified","Guitar Tricks","https://play.google.com/store/apps/details?hl=en_US&id=com.guitartricks.gt","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","rocksmith_plus_app_store","Rocksmith+ on App Store","App store","Medium","verified","Rocksmith+","https://apps.apple.com/au/app/rocksmith-fast-music-learning/id1571139807","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","gibson_app_store","Gibson App on App Store","App store","Medium","verified","Gibson App","https://apps.apple.com/us/app/gibson-learn-to-play-guitar/id1116032929","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","piano_marvel_app_store","Piano Marvel on App Store","App store","Medium","verified","Piano Marvel","https://apps.apple.com/us/app/piano-marvel-lessons-music/id1016751878","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","melodics_app_store","Melodics on App Store","App store","Medium","verified","Melodics","https://apps.apple.com/us/app/melodics-drum-lessons-app/id6504540940","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
