date,title,category,player_id,player_name,summary,impact,source_id,source_title,source_url
2024-06,Suno / Udio - Record companies filed copyright cases against Suno ,AI rights,,Suno / Udio,Record companies filed copyright cases against Suno and Udio.,"AI music shifted from product novelty to rights, licensing and board-level risk.",riaa_suno_udio_2024,riaa_suno_udio_2024,https://www.riaa.com/record-companies-bring-landmark-cases-for-responsible-ai-againstsuno-and-udio-in-boston-and-new-york-federal-courts-respectively/
2024-09,Duolingo / Loog - Duolingo Music became connected to a beginner-friend,Learning + hardware,,Duolingo / Loog,Duolingo Music became connected to a beginner-friendly portable piano.,Validates that consumer learning platforms can extend into physical beginner bundles.,duolingo_loog_piano_2024,duolingo_loog_piano_2024,https://www.theverge.com/2024/9/25/24253932/duolingo-loog-portable-green-piano-music-lessons
2025-01,Music.AI / Moises - Music.AI raised a $40M Series A and said Moises had ,Funding / AI utility,,Music.AI / Moises,Music.AI raised a $40M Series A and said Moises had reached 50M users.,AI practice utilities have large consumer reach and investor backing.,musicai_series_a_2025,musicai_series_a_2025,https://music.ai/blog/press/music-ai-raises-40m-series-a/
2025-01,Spotify for Artists - Spotify framed Campaign Kit as a toolset for deeper ,Artist tools,,Spotify for Artists,Spotify framed Campaign Kit as a toolset for deeper fandom and audience goals.,Artist-success tooling influences the advanced learner / creator journey.,spotify_campaign_kit_2025,spotify_campaign_kit_2025,https://artists.spotify.com/en/blog/how-to-meet-your-music-goals-with-campaign-kit
2025-01,Muse Group / Hal Leonard - Muse Group unified Hal Leonard US and Europe into a ,Publishing / rights,,Muse Group / Hal Leonard,Muse Group unified Hal Leonard US and Europe into a global publishing powerhouse.,"Song rights, notation, tabs and learning content are increasingly ecosystem-controlled.",muse_group_hal_leonard_2025,muse_group_hal_leonard_2025,https://www.mu.se/posts/muse-group-unifies-hal-leonard-us-and-hal-leonard-europe-into-a-global-powerhouse
2025-06,TikTok for Artists - TikTok launched an artist insights and promotional p,Artist insights,,TikTok for Artists,TikTok launched an artist insights and promotional platform.,Short-form discovery is becoming measurable artist infrastructure.,tiktok_for_artists_launch,tiktok_for_artists_launch,https://newsroom.tiktok.com/en-us/tiktok-for-artists-launches
2025-08,ElevenLabs - ElevenLabs launched Eleven Music for prompt-based mu,AI music generation,,ElevenLabs,ElevenLabs launched Eleven Music for prompt-based music generation.,A major AI audio player moved directly into music creation.,eleven_music_blog,eleven_music_blog,https://elevenlabs.io/blog/eleven-music-is-here
2025-08,Moises - Moises launched AI Studio for adaptive AI music crea,AI practice / creation,,Moises,Moises launched AI Studio for adaptive AI music creation support.,Practice utilities are moving toward creation co-pilots.,moises_ai_studio_2025,moises_ai_studio_2025,https://moises.ai/newsroom/product-announcements/launch-ai-studio/
2025-09,Spotify - Spotify announced stronger AI protections for artist,AI governance,,Spotify,Spotify announced stronger AI protections for artists and songwriters.,"Platform AI rules affect future music discovery, identity and rights expectations.",spotify_ai_protections_2025,spotify_ai_protections_2025,https://newsroom.spotify.com/2025-09-25/spotify-strengthens-ai-protections/
2025-11,Google Play - Google Play Best of 2025 continued as a platform-rec,Awards / Android,,Google Play,Google Play Best of 2025 continued as a platform-recognition benchmark.,Useful for Android app-quality and editorial recognition planning.,google_play_best_2025_official,google_play_best_2025_official,https://play.google.com/best-of-2025
2025-12,UMG / Splice - UMG and Splice announced collaboration on next-gener,AI creator tools,,UMG / Splice,UMG and Splice announced collaboration on next-generation AI-powered music creation tools.,Rights-secure AI creation is becoming a label-backed product lane.,umg_splice_ai_2025,umg_splice_ai_2025,https://www.universalmusic.com/universal-music-group-and-splice-to-collaborate-on-the-next-generation-of-ai-powered-music-creation-tools-for-artists/
2026-01,"EIC Accelerator - EIC Accelerator remained an EU route for high-risk, ",Funding / EU,,EIC Accelerator,"EIC Accelerator remained an EU route for high-risk, game-changing innovation.",Potential public-funding route for AI/learning/creative-tech initiatives.,eic_accelerator_2026_official,eic_accelerator_2026_official,https://eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator_en
2026-04,TikTok Add to Music App - TikTok said Add to Music App had generated more than,Discovery data,,TikTok Add to Music App,TikTok said Add to Music App had generated more than 6B track saves over the prior twelve months.,"Discovery platforms influence what people want to listen to, save and eventually learn.",tiktok_add_music_6b_2026,tiktok_add_music_6b_2026,https://newsroom.tiktok.com/6-billion-tracks-saved-w-tt-add-to-music-app?lang=en
2026-05,Splice / ElevenLabs - Splice announced a partnership with ElevenLabs to bu,AI creator tools,,Splice / ElevenLabs,Splice announced a partnership with ElevenLabs to build AI-powered creation tools.,Human-made licensed sample catalogs are being combined with generative AI workflows.,splice_elevenlabs_2026,splice_elevenlabs_2026,https://www.musicbusinessworldwide.com/splice-partners-with-elevenlabs-to-power-ai-music-creation-tools/
2026-06,Apple Design Awards - Apple announced 2026 Design Award winners and finali,Awards / iOS,,Apple Design Awards,Apple announced 2026 Design Award winners and finalists.,"Clear benchmark for app craft, interaction, accessibility and award submission readiness.",apple_design_awards_2026_official,apple_design_awards_2026_official,https://developer.apple.com/design/awards/
2026-06,Fender Studio Pro / Moises - Fender Studio Pro update was reported to integrate M,Hardware + AI,,Fender Studio Pro / Moises,Fender Studio Pro update was reported to integrate Moises stem separation and an AI assistant.,Instrument brands are moving further into app + DAW + AI utility territory.,fender_studio_pro_moises_2026,fender_studio_pro_moises_2026,https://www.musicradar.com/music-tech/daws/ai-isnt-the-destination-making-music-is-fender-looks-forward-as-its-studio-pro-daw-integrates-moises-stem-separation-and-a-smart-studio-assistant
2026-06,AFM / major labels - Musicians union sued UMG and WMG over AI licensing r,AI rights,,AFM / major labels,Musicians union sued UMG and WMG over AI licensing related to Suno and Udio.,AI licensing disputes now extend from labels vs AI firms to musician compensation claims.,afm_ai_licensing_lawsuit_2026,afm_ai_licensing_lawsuit_2026,https://www.reuters.com/legal/litigation/musicians-union-sues-record-labels-over-ai-licensing-2026-06-05/
