player_id,player,entity_kind,brief_category,dashboard_category,strategic_layer,type,subcategory,geography,estimated_size_reach,business_model,ownership_investors,ai_or_recent_initiatives,relevance_score,momentum_score,ai_score,key_player,what_they_are,why_they_matter,evidence_status,source_confidence,requires_credentialed_data,relationship_status,source_ids,source_urls,open_questions,last_checked_date,owner_placeholder
simply,Simply,Company / product,Music learning apps and platforms,Learning apps & curricula,Core market,Direct learning app,App-based guitar and music learning,Global,Large consumer app,Subscription learning app,Simply Ltd,Potential personalization and practice feedback research target,5,4,3,TRUE,Mobile-first music learning platform and direct reference point for casual learners.,"Useful benchmark for onboarding, motivation, pricing, and growth in app-based music education.",Public product/developer sources linked; needs Appfigures,Pending,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,simply_guitar | simply_home | research_market_cross_product | simply_google_play_dev | simply_app_store_dev,https://www.hellosimply.com/simply-guitar | https://www.hellosimply.com/ | https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456 | https://play.google.com/store/apps/dev?hl=en_US&id=9173704920238080377 | https://apps.apple.com/us/developer/simply-ltd/id492065449,App performance and revenue trend | Ownership/investor history beyond public developer pages | Current growth by geography,2026-06-11,Yousician owner TBD
ultimate-guitar,Ultimate Guitar,Company / product,Music hobby software ecosystem,Song & practice ecosystems,Core habit layer,Song-practice ecosystem,"Tabs, chords, song discovery, and practice habits",Global,Large global music community,"Freemium, subscription, ads",Muse Group,"Research AI-assisted discovery, practice, and content workflow signals",5,4,3,TRUE,"Tab, chord, song, and musician community ecosystem for guitar players.",Strong influence on how hobbyists discover songs and move from inspiration to practice.,Needs traffic + app data check,Low,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,ultimate_guitar_about | muse_group | research_market_cross_product | ultimate_guitar_google_play | muse_group_ultimate_guitar,https://www.ultimate-guitar.com/about/ | https://www.mu.se/ | https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456 | https://play.google.com/store/apps/details?hl=en_US&id=com.ultimateguitar.tabs | https://www.mu.se/ultimate-guitar,Current traffic split by web/app | Recent monetization and AI product direction | Impact of Muse Group bundling,2026-06-11,Yousician owner TBD
fender-play,Fender Play,Company / product,Music learning apps and platforms,Learning apps & curricula,Core market,Brand-backed learning app,"Guitar, bass, and ukulele learning",Global,Brand-backed learning app,Subscription and brand ecosystem,Fender,Confirmed app feedback surface; broader AI/connected-instrument roadmap remains a monitoring hypothesis,4,3,2,TRUE,Learning product connected to one of the strongest guitar brands.,"Shows how instrument makers can extend into software, subscriptions, and beginner journeys.",Official Fender/app sources linked; needs Appfigures + bundle performance; AI roadmap not confirmed,Pending,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,fender_play | research_market_cross_product | fender_play_app_store | fender_play_google_play,https://www.fender.com/play | https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456 | https://apps.apple.com/us/app/fender-play-learn-guitar/id1226057939 | https://play.google.com/store/apps/details?hl=en_US&id=com.fender.play,Current app performance and revenue | Hardware bundle and Samsung/TV expansion impact | Retention vs Yousician guitar-learning journeys,2026-06-11,Yousician owner TBD
flowkey,Flowkey,Company / product,Music learning apps and platforms,Learning apps & curricula,Core market,Instrument learning app,Piano learning benchmark,Global,Established piano app,Subscription,"flowkey GmbH; Yamaha is a hardware-promotion partner, not shown here as owner",Confirmed feedback/product-learning surface; AI content generation remains a monitoring hypothesis,4,3,2,TRUE,"Piano learning app focused on songs, guided lessons, and practice support.","Important benchmark for piano learning, catalog positioning, and conversion mechanics.",Public product/app/partner sources linked; needs Appfigures,Pending,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,flowkey_official | flowkey_google_play | flowkey_yamaha | yamaha_flowkey_promo,https://www.flowkey.com/en | https://play.google.com/store/apps/details?hl=en_US&id=com.flowkey.app | https://www.flowkey.com/en/yamaha | https://usa.yamaha.com/promotions/flowkey/index.html,Current app ranking and revenue | Exact company ownership structure | Yamaha partnership conversion impact,2026-06-11,Yousician owner TBD
skoove,Skoove,Company / product,Music learning apps and platforms,Learning apps & curricula,Core market,Instrument learning app,Piano learning benchmark,Global,Established piano app,Subscription,Skoove,Research feedback and adaptive practice signals,4,3,2,FALSE,Digital piano learning platform for beginner and intermediate players.,"Relevant for piano pedagogy, app store positioning, and paid acquisition benchmarks.",Public product/app sources linked; needs Appfigures,Pending,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,skoove_official | skoove_google_play | skoove_app_store,https://www.skoove.com/en | https://play.google.com/store/apps/details?hl=en_US&id=com.skoove.piano | https://apps.apple.com/us/app/skoove-learn-to-play-piano/id1160668178,Ownership and funding | Current app performance | B2C vs partnership motion,2026-06-11,Yousician owner TBD
justinguitar,JustinGuitar,Company / product,Music hobby software ecosystem,Song & practice ecosystems,Core habit layer,Creator-led practice ecosystem,"Trusted guitar teacher, free lessons, app, and course funnel",Global,Large creator-led audience,"Free content, courses, app, community",Independent,Research how creator-led learning uses AI-assisted practice or content,4,3,2,TRUE,Influential guitar educator with a broad online learning footprint.,Shows the power of trusted teachers and free content in shaping learner behavior.,Public app/site sources linked; needs audience data,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,justinguitar_site | justinguitar_app,https://www.justinguitar.com/ | https://justinguitarapp.com/,Current audience size | App conversion and course economics,2026-06-11,Yousician owner TBD
artie-piano,Artie Piano,Company / product,Music learning apps and platforms,Learning apps & curricula,Core market,AI-native learning app,AI piano teacher and adaptive practice,To verify,Emerging,To verify,To verify,Likely research target for AI-native learning patterns,3,3,3,FALSE,Example emerging piano learning player from the brief.,Useful as an early signal for new product patterns in music learning.,Public ArtMaster/app sources linked; needs traction validation,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,artie_artmaster | artie_app_store | artie_review,https://www.artmaster.com/artie | https://apps.apple.com/us/app/artie-learn-piano-with-ai/id6746756746 | https://www.artmaster.com/articles/artie-piano-app-review,Traction beyond app listing | Retention and paid conversion | Model/feedback quality against established piano apps,2026-06-11,Yousician owner TBD
fender,Fender,Company / product,"Instrument brands, manufacturers and distributors",Hardware & retail channels,Acquisition layer,Hardware ecosystem,"Guitar brand, beginner gear, and learning extension",Global,Major global brand,"Hardware, software, subscriptions, content",Private,Research connected instrument and practice feedback initiatives,5,3,2,TRUE,"Iconic guitar brand with reach across aspiration, hardware, education, and artist culture.",Instrument brands can shape the beginner funnel before users choose a learning app.,Public company/product sources linked; needs market validation,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,fender_play | research_market_cross_product | fender_play_app_store | fender_play_google_play,https://www.fender.com/play | https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456 | https://apps.apple.com/us/app/fender-play-learn-guitar/id1226057939 | https://play.google.com/store/apps/details?hl=en_US&id=com.fender.play,Current beginner-bundle strategy | Retail and connected hardware partnerships | Internal relationship opportunities,2026-06-11,Yousician owner TBD
yamaha,Yamaha,Company / product,"Instrument brands, manufacturers and distributors",Hardware & retail channels,Acquisition layer,Hardware and education ecosystem,"Instruments, audio, schools, and education infrastructure",Global,Major global brand,"Hardware, education, services",Public company,"Research smart instruments, learning integrations, and audio AI",4,3,2,TRUE,Large music instrument and audio company with broad education relevance.,"Influences hardware access, music education channels, and partner possibilities.",Public company/product source linked; needs performance validation,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,yamaha_products | yamaha_education,https://www.yamaha.com/en/products-services/ | https://usa.yamaha.com/education/index.html,Current digital-learning partnerships | Regional education priorities,2026-06-11,Yousician owner TBD
thomann,Thomann,Channel / hardware,"Instrument brands, manufacturers and distributors",Hardware & retail channels,Acquisition layer,Retail channel,European gear purchase and beginner bundle surface,Europe,Large European music retailer,"Ecommerce, private label, content",Private,Research recommendation and content initiatives,4,3,1,FALSE,Major instrument retailer with reach at the moment learners buy gear.,"Retailers can influence purchase intent, bundles, learning referrals, and beginner journeys.",Public commerce/company sources linked; needs traffic data,Medium,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,thomann_official | thomann_about,https://www.thomannmusic.com/ | https://www.thomannmusic.com/compinfo.html,Traffic and conversion behavior | Beginner-bundle behavior | Partnership openness,2026-06-11,Yousician owner TBD
sweetwater,Sweetwater,Channel / hardware,"Instrument brands, manufacturers and distributors",Hardware & retail channels,Acquisition layer,Retail channel,"US gear purchase, sales support, and content surface",US,Large US music retailer,"Ecommerce, sales support, content",Private,Research recommendation and support initiatives,3,3,1,FALSE,Large music gear retailer with strong content and sales support surface.,Can shape the US beginner journey and partner ecosystem around instrument purchases.,Public commerce/company sources linked; needs traffic data,Medium,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,sweetwater_official | sweetwater_app,https://www.sweetwater.com/ | https://www.sweetwater.com/app/,Beginner bundle strategy | Education or referral partnerships | Retail-to-learning funnel data,2026-06-11,Yousician owner TBD
