"priority","player_id","player_name","category","backlog_type","question_or_task","recommended_source","owner","next_action","source_status"
"High","simply","Simply","learning","Open evidence question","App performance and revenue trend","Appfigures | Crunchbase | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/developer sources linked; needs Appfigures"
"High","simply","Simply","learning","Open evidence question","Ownership/investor history beyond public developer pages","Appfigures | Crunchbase | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/developer sources linked; needs Appfigures"
"High","simply","Simply","learning","Open evidence question","Current growth by geography","Appfigures | Crunchbase | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/developer sources linked; needs Appfigures"
"High","simply","Simply","learning","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Crunchbase | Company source","Competitive intel","Fill live-overrides-template.json or Airtable metrics fields.","Public product/developer sources linked; needs Appfigures"
"High","ultimate-guitar","Ultimate Guitar","practice","Open evidence question","Current traffic split by web/app","Appfigures | Similarweb | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Needs traffic + app data check"
"High","ultimate-guitar","Ultimate Guitar","practice","Open evidence question","Recent monetization and AI product direction","Appfigures | Similarweb | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Needs traffic + app data check"
"High","ultimate-guitar","Ultimate Guitar","practice","Open evidence question","Impact of Muse Group bundling","Appfigures | Similarweb | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Needs traffic + app data check"
"High","ultimate-guitar","Ultimate Guitar","practice","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Similarweb | Company source","Practice & content","Fill live-overrides-template.json or Airtable metrics fields.","Needs traffic + app data check"
"High","fender-play","Fender Play","learning","Open evidence question","Current app performance and revenue","Appfigures | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Official Fender/app sources linked; needs Appfigures + bundle performance; AI roadmap not confirmed"
"High","fender-play","Fender Play","learning","Open evidence question","Hardware bundle and Samsung/TV expansion impact","Appfigures | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Official Fender/app sources linked; needs Appfigures + bundle performance; AI roadmap not confirmed"
"High","fender-play","Fender Play","learning","Open evidence question","Retention vs Yousician guitar-learning journeys","Appfigures | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Official Fender/app sources linked; needs Appfigures + bundle performance; AI roadmap not confirmed"
"High","fender-play","Fender Play","learning","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Company source","Competitive intel","Fill live-overrides-template.json or Airtable metrics fields.","Official Fender/app sources linked; needs Appfigures + bundle performance; AI roadmap not confirmed"
"High","flowkey","Flowkey","learning","Open evidence question","Current app ranking and revenue","Appfigures | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/app/partner sources linked; needs Appfigures"
"High","flowkey","Flowkey","learning","Open evidence question","Exact company ownership structure","Appfigures | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/app/partner sources linked; needs Appfigures"
"High","flowkey","Flowkey","learning","Open evidence question","Yamaha partnership conversion impact","Appfigures | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/app/partner sources linked; needs Appfigures"
"High","flowkey","Flowkey","learning","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Company source","Competitive intel","Fill live-overrides-template.json or Airtable metrics fields.","Public product/app/partner sources linked; needs Appfigures"
