watch_id,source_name,source_url,claim_area,refresh_cadence,review_priority,owner_placeholder,notes
www_hellosimply_com_simply_guitar,Simply,https://www.hellosimply.com/simply-guitar,Music learning apps and platforms,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
www_fender_com_play,Fender Play,https://www.fender.com/play,"Music learning apps and platforms; Instrument brands, manufacturers and distributors",weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
www_flowkey_com_en,Flowkey,https://www.flowkey.com/en,Music learning apps and platforms,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
moises_ai,Moises,https://moises.ai/,AI companies and AI initiatives,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
www_guitartricks_com,Guitar Tricks,https://www.guitartricks.com/,Music learning apps and platforms,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
www_pickupmusic_com,Pickup Music,https://www.pickupmusic.com/,Music learning apps and platforms,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
www_gibson_app,Gibson App,https://www.gibson.app/,Music learning apps and platforms; Music / Education,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
fretello_com_app,Fretello,https://fretello.com/app/,Music learning apps and platforms,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
apps_apple_com_us_app_chord_ai_play_any_song_id1446177109,Chord ai,https://apps.apple.com/us/app/chord-ai-play-any-song/id1446177109,Music hobby software ecosystem,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
play_google_com_store_apps_details,Simply,https://play.google.com/store/apps/details?hl=en_US&id=com.joytunes.simplyguitar,Education; Education; Music; Practice ecosystem; Notation ecosystem,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
www_hellosimply_com,Simply,https://www.hellosimply.com/,Education,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
apps_apple_com_us_app_flowkey_learn_to_play_piano_id1020357408,Flowkey,https://apps.apple.com/us/app/flowkey-learn-to-play-piano/id1020357408,Education,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
apps_apple_com_us_app_fender_play_learn_guitar_id1226057939,Fender Play,https://apps.apple.com/us/app/fender-play-learn-guitar/id1226057939,Education,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
apps_apple_com_us_app_moises_the_musicians_app_id1515796612,Moises,https://apps.apple.com/us/app/moises-the-musicians-app/id1515796612,Music,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
apps_apple_com_us_app_musescore_sheet_music_chords_id835731296,MuseScore,https://apps.apple.com/us/app/musescore-sheet-music-chords/id835731296,Music,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
apps_apple_com_us_app_songsterr_tabs_chords_id399211291,Songsterr,https://apps.apple.com/us/app/songsterr-tabs-chords/id399211291,Music; Practice ecosystem,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
chordai_net,Chord ai,https://chordai.net/,Music,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
fretello_com,Fretello,https://fretello.com/,Education,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
apps_apple_com_us_app_bandlab_music_maker_beats_id968585775,BandLab,https://apps.apple.com/us/app/bandlab-music-maker-beats/id968585775,Music,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
riaa_suno_udio_2024,Suno / Udio / RIAA,https://www.riaa.com/record-companies-bring-landmark-cases-for-responsible-ai-againstsuno-and-udio-in-boston-and-new-york-federal-courts-respectively/,AI companies and AI initiatives,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
eu_ai_act_2024,European Union AI Act,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,AI companies and AI initiatives,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
tiktok_music_shutdown_2024,TikTok Music,https://www.businessinsider.com/tiktok-abandoning-plan-to-challenge-spotify-apple-in-music-streaming-2024-9,"Media, publishers and cultural drivers",weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
duolingo_loog_2024,Duolingo / Loog,https://www.theverge.com/2024/9/25/24253932/duolingo-loog-portable-green-piano-music-lessons,Wider education and self-improvement ecosystem,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
youtube_ai_restyle_2024,YouTube Dream Track,https://www.theverge.com/2024/11/12/24294891/youtube-ai-restyle-music-creators,AI companies and AI initiatives,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
takelessons_closure_2024,Microsoft TakeLessons,https://learn.microsoft.com/en-us/takelessons/takelessons-closure-faq,"Teachers, schools and music education organizations",weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
musicai_series_a_2025,Music.AI / Moises,https://music.ai/blog/press/music-ai-raises-40m-series-a/,AI companies and AI initiatives,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
usco_ai_part2_2025,U.S. Copyright Office,https://www.copyright.gov/ai/,AI companies and AI initiatives,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
school_of_rock_locations_2025,School of Rock,https://www.schoolofrock.com/locations,"Teachers, schools and music education organizations",weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
splice_spitfire_2025,Splice / Spitfire Audio,https://www.prnewswire.com/news-releases/splice-to-supercharge-music-creation-ecosystem-with-acquisition-of-spitfire-audio-positioning-itself-to-lead-in-the-7b-music-software-and-services-sector-302439458.html,Music hobby software ecosystem,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
tiktok_for_artists_2025,TikTok for Artists,https://newsroom.tiktok.com/en-us/tiktok-for-artists-launches,"Media, publishers and cultural drivers",weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
eleven_music_2025,ElevenLabs Music,https://elevenlabs.io/blog/eleven-music-is-here,AI companies and AI initiatives,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
moises_ai_studio_2025,Moises AI Studio,https://moises.ai/newsroom/product-announcements/launch-ai-studio/,AI companies and AI initiatives,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
spotify_ai_protections_2025,Spotify,https://newsroom.spotify.com/2025-09-25/spotify-strengthens-ai-protections/,"Media, publishers and cultural drivers",weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
creative_europe_games_2026,Creative Europe MEDIA,https://www.creativeeuropeireland.eu/funding-opportunities/call/video-games-immersive-content,Funding,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
splice_instrument_2025,Splice INSTRUMENT,https://www.musicradar.com/music-tech/for-the-first-time-were-moving-beyond-samples-splice-unveils-free-plugin-and-virtual-instrument-platform-with-hundreds-of-free-presets,Music hobby software ecosystem,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
umg_udio_2025,UMG / Udio,https://www.universalmusic.com/universal-music-group-and-udio-announce-udios-first-strategic-agreements-for-new-licensed-ai-music-creation-platform/,AI companies and AI initiatives,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
suno_series_c_2025,Suno,https://suno.com/blog/series-c-announcement,AI companies and AI initiatives,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
wmg_suno_2025,Warner Music Group / Suno,https://www.wmg.com/news/warner-music-group-and-suno-forge-groundbreaking-partnership,AI companies and AI initiatives,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
spotify_wrapped_artists_2025,Spotify Wrapped for Artists,https://newsroom.spotify.com/2025-12-03/wrapped-for-artists-songwriters-creators-authors-advertisers/,"Media, publishers and cultural drivers",weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
tiktok_top_music_2025,TikTok Year in Music,https://newsroom.tiktok.com/tiktok-reveals-the-top-artists-and-songs-of-2025?lang=en,"Media, publishers and cultural drivers",weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
worldwide_edtech_2026,WorldWiDE EdTech Awards,https://worldwide-edtech.org/faq,Awards,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
eic_deadlines_2026,EIC Accelerator,https://innovation-manager.com/eic-accelerator-2026-key-application-dates-announced/,Funding,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
webby_deadline_2026,Webby Awards,https://www.webbyawards.com/how-to-enter-the-webby-awards/,Awards,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
creative_europe_deadline_2026,Creative Europe MEDIA,https://www.euro-access.eu/en/calls/2391/Video-games-and-immersive-content-development,Funding,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
edtech_awards_2026,EdTech Awards,https://www.edtechdigest.com/2026-finalists-winners/,Awards,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
spotify_loud_clear_2026,Spotify Loud & Clear,https://www.musicradar.com/music-industry/streaming-sharing/spotify-is-the-highest-paying-retailer-globally-paying-the-music-industry-more-than-usd11-billion-in-2025-spotify-reveals-how-much-it-actually-pays-out-to-musicians-in-its-new-loud-and-clear-report,"Media, publishers and cultural drivers",weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
splice_ai_tools_2026,Splice,https://www.musicbusinessworldwide.com/splice-launches-ai-tools-that-compensate-sample-creators-when-their-sounds-are-used/,AI companies and AI initiatives,weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
brandon_hall_edtech_2026,Brandon Hall EdTech Awards,https://excellenceawards.brandonhall.com/edtech/,Awards,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
youtube_music_growth_2026,YouTube Music / Premium,https://www.digitalmusicnews.com/2026/04/30/youtube-music-subscribers-q1-2026/,"Media, publishers and cultural drivers",weekly,Medium,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
google_play_q1_2026,Google Play,https://google.play/the-latest/2026-q1/,Music learning apps and platforms,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
apple_ada_finalists_2026,Apple Design Awards,https://developer.apple.com/news/?id=8t3j66i7,Awards,weekly,High,Yousician research owner TBD,Bootstrapped from source_audit_v3.csv
