"source_id","title","type","tier","url","scope","access_status","last_url_check","last_http_status","quality_note","used_by_player_ids","used_by_player_names"
"research_yousician_foundational","Foundational Knowledge of Yousician Users","Internal research","High","https://yousician.atlassian.net/wiki/spaces/Research/pages/6040158226","Yousician users, motivations, pain points, and learning needs","auth-required","2026-06-10","200","Internal Confluence source. Trusted when authenticated, but not publicly verifiable from this artifact.","",""
"research_guitartuna_foundational","Foundational Knowledge of GuitarTuna Users","Internal research","High","https://yousician.atlassian.net/wiki/spaces/Research/pages/6040977421","GuitarTuna users, self-guided practice, songs, and product expectations","auth-required","2026-06-10","200","Internal Confluence source. Trusted when authenticated, but not publicly verifiable from this artifact.","bandlab","BandLab"
"research_market_cross_product","Market Research for both Yousician and GuitarTuna","Internal research","High","https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456","Music hobby market, category awareness, competitors, and guitar motivations","auth-required","2026-06-10","200","Internal Confluence source. Trusted when authenticated, but not publicly verifiable from this artifact.","simply | ultimate-guitar | fender-play | fender | marty-music | youtube-artists","Simply | Ultimate Guitar | Fender Play | Fender | Marty Music | YouTube"
"simply_guitar","Simply Guitar product page","Official product","High","https://www.hellosimply.com/simply-guitar","Song-led guitar learning, real-time feedback, chords/tabs, and positioning","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","simply","Simply"
"simply_home","Simply product family","Official company","High","https://www.hellosimply.com/","Simply product portfolio and creative-hobby positioning","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","simply","Simply"
"ultimate_guitar_about","Ultimate Guitar About","Official product","High","https://www.ultimate-guitar.com/about/","Tabs, official tabs, tools, community, and scale claims","access-restricted","2026-06-10","403","Automated URL check returned 403; manually open before board-ready use.","ultimate-guitar","Ultimate Guitar"
"muse_group","Muse Group ecosystem","Official company","High","https://www.mu.se/","Ultimate Guitar, MuseScore, Audacity, StaffPad, user-scale and product ecosystem","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","ultimate-guitar | musescore | audacity","Ultimate Guitar | MuseScore | Audacity"
"fender_play","Fender Play","Official product","High","https://www.fender.com/play","Guitar, bass, and ukulele learning app from Fender","access-restricted","2026-06-10","403","Automated URL check returned 403; manually open before board-ready use.","fender-play | fender","Fender Play | Fender"
"flowkey_official","flowkey piano learning app","Official product","High","https://www.flowkey.com/en","Interactive piano learning, instant feedback, wait mode, and song library","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","flowkey","Flowkey"
"flowkey_google_play","flowkey on Google Play","App store","Medium","https://play.google.com/store/apps/details?hl=en_US&id=com.flowkey.app","App listing, courses, practice tools, and feedback claims","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","flowkey","Flowkey"
"skoove_official","Skoove piano learning app","Official product","High","https://www.skoove.com/en","Interactive piano lessons, instant feedback, songs, and guided curriculum","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","skoove","Skoove"
"skoove_google_play","Skoove on Google Play","App store","Medium","https://play.google.com/store/apps/details?hl=en_US&id=com.skoove.piano","AI listening, real-time feedback, songs, courses, and practice tools","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","skoove","Skoove"
"justinguitar_site","JustinGuitar","Official product","High","https://www.justinguitar.com/","Free online guitar lessons, beginner courses, and song-led guitar education","access-restricted","2026-06-10","403","Automated URL check returned 403; manually open before board-ready use.","justinguitar","JustinGuitar"
"justinguitar_app","Justin Guitar App","Official product","High","https://justinguitarapp.com/","App-based lessons, exercises, and play-along tracks","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","justinguitar","JustinGuitar"
"artie_artmaster","Artie by ArtMaster","Official product","High","https://www.artmaster.com/artie","AI piano teacher, real-time feedback, adaptive learning, and song-led positioning","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","artie-piano","Artie Piano"
"artie_app_store","Artie on App Store","App store","Medium","https://apps.apple.com/us/app/artie-learn-piano-with-ai/id6746756746","App listing for AI piano learning, feedback, songs, and practice tools","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","artie-piano","Artie Piano"
"yamaha_products","Yamaha products and services","Official company","High","https://www.yamaha.com/en/products-services/","Musical instruments, music education, audio, and Yamaha group brands","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","yamaha","Yamaha"
"yamaha_education","Yamaha Music Education","Official product","High","https://usa.yamaha.com/education/index.html","Music education products, Yamaha Music School, and learning infrastructure","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","yamaha","Yamaha"
"thomann_official","Thomann online music retail","Official company","High","https://www.thomannmusic.com/","European music retail scale, gear catalog, and channel surface","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","thomann","Thomann"
"sweetwater_official","Sweetwater music retail","Official company","High","https://www.sweetwater.com/","US music instrument and pro-audio retail, sales support, and content surface","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","sweetwater","Sweetwater"
"bandlab_official","BandLab music creation platform","Official product","High","https://www.bandlab.com/?lang=en","Online music creation, collaboration, and sharing","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","bandlab","BandLab"
"bandlab_app_store","BandLab on App Store","App store","Medium","https://apps.apple.com/us/app/bandlab-music-maker-beats/id968585775","Mobile studio, AI tools, collaboration, and ratings","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","bandlab","BandLab"
"musescore_org","MuseScore Studio","Official product","High","https://musescore.org/","Free open-source music notation software","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","musescore","MuseScore"
"muse_group_musescore","MuseScore Studio by Muse Group","Official company","High","https://www.mu.se/musescore-studio","MuseScore product scale and ownership context","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","musescore","MuseScore"
"songsterr_official","Songsterr","Official product","High","https://www.songsterr.com/","Guitar, bass, and drum tabs with play-along audio and AI tab creation signal","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","songsterr","Songsterr"
"songsterr_app_store","Songsterr on App Store","App store","Medium","https://apps.apple.com/us/app/songsterr-tabs-chords/id399211291","Mobile tabs/chords app listing and subscription model","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","songsterr","Songsterr"
"splice_official","Splice","Official product","High","https://splice.com/","Royalty-free sample library, creator marketplace, and production workflow","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","splice","Splice"
"splice_samples_search","Splice Sounds search","Official product","High","https://splice.com/sounds/search/samples","Sample search, metadata, licensing, and production discovery","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","splice","Splice"
"splice_ai_tools_news","Splice generative AI tools coverage","News / market signal","Medium","https://www.musicradar.com/music-tech/splice-launches-generative-ai-tools-that-fairly-compensate-sample-creators","AI sample variation tools and creator compensation signal","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","splice","Splice"
"ableton_official","Ableton","Official company","High","https://www.ableton.com/en/","Music software, hardware, and creator tools","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","ableton","Ableton"
"ableton_live","Ableton Live","Official product","High","https://www.ableton.com/en/live/what-is-live/","DAW positioning and creation workflow","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","ableton","Ableton"
"ableton_push","Ableton Push","Official product","High","https://www.ableton.com/en/push/","Standalone/tethered music-making hardware","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","ableton","Ableton"
"apple_garageband","GarageBand for iOS","Official product","High","https://www.apple.com/ios/garageband/","Apple music creation app, instruments, recording, sharing, and sound library","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","apple-garageband","GarageBand"
"garageband_app_store","GarageBand on App Store","App store","Medium","https://apps.apple.com/us/app/garageband/id408709785","Mobile GarageBand app listing and feature set","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","apple-garageband","GarageBand"
"suno_about","Suno About","Official company","High","https://suno.com/about","Suno company purpose, AI music platform positioning, and product direction","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","suno","Suno"
"suno_product","Suno product page","Official product","High","https://suno.com/","Prompt-to-song music generation and consumer positioning","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","suno","Suno"
"suno_app_store","Suno on App Store","App store","Medium","https://apps.apple.com/us/app/suno-ai-songs-music/id6480136315","Mobile AI song generator listing","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","suno","Suno"
"riaa_suno_udio","RIAA cases against Suno and Udio","Legal / industry","High","https://www.riaa.com/record-companies-bring-landmark-cases-for-responsible-ai-againstsuno-and-udio-in-boston-and-new-york-federal-courts-respectively/","Copyright litigation and industry risk around generative AI music","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","suno | udio","Suno | Udio"
"udio_official","Udio","Official product","High","https://www.udio.com/","AI music generation and sharing","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","udio","Udio"
"udio_app_store","Udio on App Store","App store","Medium","https://apps.apple.com/us/app/udio-ai-music-maker-studio/id6511211165","Mobile AI music maker listing","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","udio","Udio"
"udio_umg_deal","UMG and Udio strategic agreement","Legal / industry","High","https://www.universalmusic.com/universal-music-group-and-udio-announce-udios-first-strategic-agreements-for-new-licensed-ai-music-creation-platform/","Licensed AI music platform agreement and litigation settlement signal","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","udio","Udio"
"moises_official","Moises","Official product","High","https://moises.ai/","AI practice app, stem separation, mastering, remixing, and musician utility","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","moises","Moises"
"moises_app_store","Moises on App Store","App store","Medium","https://apps.apple.com/us/app/moises-the-musicians-app/id1515796612","Mobile AI practice utility listing","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","moises","Moises"
"moises_google_play","Moises on Google Play","App store","Medium","https://play.google.com/store/apps/details?hl=en_US&id=ai.moises","Google Play listing for vocal remover, stem player, metronome, tabs, and AI mixer","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","moises","Moises"
"moises_musicfirst","Moises for education via MusicFirst","Partner / education","Medium","https://www.musicfirst.com/software/moises","Classroom-ready AI music practice and creation positioning","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","moises","Moises"
"duolingo_ir","Duolingo Investor Relations","Financial / filing","High","https://investors.duolingo.com/investor-relations","Public company filings, shareholder information, and financial disclosures","verified","2026-06-10","200","Automated URL check passed on 2026-06-10.","duolingo","Duolingo"
