name_channel,instrument,platform,youtube_subscribers,tiktok_instagram_reach,average_views,language_region,target_learner_type,why_they_matter,potential_relationship_status,source_url,source_confidence,last_checked_date,owner_placeholder,youtube_status,tiktok_instagram_status,average_views_status,reach_completeness,next_validation_step
JustinGuitar,Guitar,YouTube / web / app,1.98M public site proxy,Instagram/TikTok not validated,Needs platform export,English / UK,Beginner guitar,Trusted free beginner pathway and app/course funnel.,Potential educator benchmark / partnership status TBD,https://www.justinguitar.com/,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Marty Music,Guitar,YouTube / course,4.9M,Not validated,SocialBlade proxy: 9.26M monthly views,English / US,Beginner song learners,Massive song-led guitar instruction channel.,Potential creator campaign / partnership status TBD,https://www.youtube.com/martymusic,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Rick Beato,Guitar / theory / production,YouTube / interviews,5.67M,Instagram 1M secondary-channel post observed; not full reach,vidIQ proxy: 84.82M monthly views,English / US,"Adult hobbyists, music fans, advanced learners","Cultural educator with authority across theory, songs and industry interviews.",Influencer/media relationship status TBD,https://www.youtube.com/RickBeato,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Public proxy available,Public proxy available,3/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Paul Davids,Guitar,YouTube / courses,3.67M,Not validated,Official site proxy: 520M total video views,English / Netherlands,"Intermediate guitar, premium course buyers",High-quality guitar creator with course funnel and strong production values.,Potential creator benchmark / partnership status TBD,https://pauldavidsguitar.com/,High,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Andy Guitar,Guitar / ukulele,YouTube / app / web,3.13M,Not validated,SocialBlade proxy: 396M total views,English / UK,Beginner guitar and ukulele,Large beginner-oriented teacher with structured web/app ecosystem.,Potential educator benchmark,https://www.youtube.com/user/andycrowley,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
GuitarZero2Hero,Guitar,YouTube / web,1.8M,Not validated,Needs validation,English / Australia,Song tutorial beginners,Annotated song tutorials align with play-real-songs motivation.,Potential creator campaign,https://www.youtube.com/channel/UCasFZzbM8JJ6dqSVEgL9VVg,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Pending platform export,1/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
GuitarLessons365Song,Guitar,YouTube / academy,1.6M public YouTube/search proxy,Not validated,vidIQ proxy: gained 10K subscribers in last 30 days,English / US,"Song learners, intermediate players",Large song-focused guitar lesson library.,Potential content benchmark,https://www.youtube.com/@GuitarLessons365Song,Medium,2026-06-13,Yousician owner TBD,Public YouTube profile/source proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh exact YouTube subscriber count, TikTok/Instagram reach and average views from platform/social analytics before campaign planning."
Swiftlessons,Guitar,YouTube / Patreon,980K,Facebook active; not quantified,vidIQ proxy: 881.87K monthly views,English / US,Blues/rock guitar beginners,Strong near-1M creator with Patreon and resource funnel.,Potential creator campaign,https://www.youtube.com/user/swiftlessons,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Public proxy available,Public proxy available,3/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Pianote,Piano,YouTube / subscription,To validate; vidIQ shows strong growth,Not validated,vidIQ proxy: 8.13M monthly views,English / Canada,"Beginner piano, adults",Teacher-led alternative to piano apps with strong support promise.,Benchmark / potential partnership TBD,https://www.pianote.com/,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Piano With Jonny,Piano,YouTube / subscription,478K,Facebook 238K likes proxy,vidIQ proxy available,English / US,Jazz/blues piano learners,Specialist piano improv community and subscription platform.,Potential advanced learner benchmark,https://pianowithjonny.com/,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Public proxy available,Public proxy available,3/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Nahre Sol,Piano / composition,YouTube / performances,830K,Not validated,Wikipedia proxy: 85M+ total views,English / US,"Music theory, classical, creative learners",High-credibility bridge between classical training and creator culture.,Potential cultural educator,https://www.youtube.com/c/NahreSol,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Piano From Scratch,Piano,YouTube,248K,Not validated,Needs validation,English,Beginner piano,Direct beginner-piano advice signal.,Watchlist,https://www.youtube.com/c/PianoFromScratch,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Pending platform export,1/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Drumeo,Drums,YouTube / subscription,5.47M,Instagram/TikTok not validated,vidIQ proxy: 34.43M monthly views,English / Canada,"Drummers, hobbyists, fans",One of the strongest creator-led music education brands.,Benchmark / artist partnership model,https://www.youtube.com/%40DrumeoOfficial,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Scott's Bass Lessons,Bass,YouTube / subscription,1.57M,Not validated,SocialBlade proxy: 476M total views,English / UK,Bass learners,Large specialist instrument school with strong pathway positioning.,Benchmark,https://scottsbasslessons.com/,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
BassBuzz,Bass,YouTube / course,978K,Not validated,vidIQ proxy: 1.24M monthly views,English / US,Beginner bass,Beginner-first bass positioning is close to Yousician-style motivation.,Potential creator benchmark,https://www.youtube.com/c/BassBuzz,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Adam Neely,Bass / theory,YouTube,1.83M,Not validated,vidIQ proxy: 414K monthly views,English / US,"Music theory, culture, musicians",Influences how internet-native musicians interpret theory and music culture.,Cultural educator,https://www.youtube.com/adamneely,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
David Bennett Music Theory,Piano / theory,YouTube / Patreon,1.3M,"Patreon 1,387 members proxy",Needs validation,English / UK,Theory-curious learners,Accessible theory analysis tied to songs and piano.,Potential education/media partner,https://www.youtube.com/%40DavidBennettPiano,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Public proxy available,Pending platform export,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Signals Music Studio,Guitar / theory,YouTube / courses,713K,Not validated,Official site proxy: 40M+ views,English / US,Guitarists learning theory/songwriting,Strong practical-theory teacher for guitar learners.,Potential creator benchmark,https://signalsmusic.studio/,High,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Andrew Huang,Production / multi-instrument,YouTube / tools / courses,2.37M,Not validated,SocialBlade proxy: 379M total views,English / Canada,"Creators, producers, curious hobbyists",Bridge from music learning into creation and tools.,Creator/collaboration watchlist,https://www.youtube.com/channel/UCdcemy56JtVTrsFIOoqvV8g,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Charles Cornell,Piano / theory / entertainment,YouTube / courses,1.89M,Not validated,SocialBlade proxy: 267M total views,English / US,"Piano, theory and entertainment learners",Makes music theory and piano analysis mainstream and entertaining.,Potential creator benchmark,https://www.youtube.com/%40CharlesCornellStudios,Medium,2026-06-11,Yousician owner TBD,Public proxy available,Pending platform export,Public proxy available,2/3 fields populated with usable public proxy,"Refresh YouTube, TikTok, Instagram and average views from platform/social analytics before campaign planning."
Active Melody,Guitar,YouTube / membership,public YouTube profile proxy; exact count should be refreshed before campaign use,Not validated,Needs validation,English / US,"Blues guitar, intermediate",Strong recurring lesson/membership model.,Watchlist,https://www.youtube.com/@activemelody,Medium,2026-06-13,Yousician owner TBD,Public YouTube profile/source proxy available,Pending platform export,Pending platform export,1/3 fields populated with usable public proxy,"Refresh exact YouTube subscriber count, TikTok/Instagram reach and average views from platform/social analytics before campaign planning."
Bernth,Guitar,YouTube / courses,public YouTube profile proxy; exact count should be refreshed before campaign use,Not validated,Needs validation,English / Austria,Technique-focused guitarists,Represents technical guitar creator funnel and challenge formats.,Watchlist,https://www.youtube.com/@Bernthguitar,Medium,2026-06-13,Yousician owner TBD,Public YouTube profile/source proxy available,Pending platform export,Pending platform export,1/3 fields populated with usable public proxy,"Refresh exact YouTube subscriber count, TikTok/Instagram reach and average views from platform/social analytics before campaign planning."
Ben Eller,Guitar,YouTube / Patreon,public YouTube profile proxy; exact count should be refreshed before campaign use,Not validated,Needs validation,English / US,Technique and rock/metal guitar,Popular technique teacher with distinctive personality.,Watchlist,https://www.youtube.com/@BenEller,Medium,2026-06-13,Yousician owner TBD,Public YouTube profile/source proxy available,Pending platform export,Pending platform export,1/3 fields populated with usable public proxy,"Refresh exact YouTube subscriber count, TikTok/Instagram reach and average views from platform/social analytics before campaign planning."
12tone,Theory / analysis,YouTube,public YouTube profile proxy; exact count should be refreshed before campaign use,Not validated,Needs validation,English / US,Theory and song analysis learners,Music theory explainer with accessible visual style.,Watchlist,https://www.youtube.com/@12tone,Medium,2026-06-13,Yousician owner TBD,Public YouTube profile/source proxy available,Pending platform export,Pending platform export,1/3 fields populated with usable public proxy,"Refresh exact YouTube subscriber count, TikTok/Instagram reach and average views from platform/social analytics before campaign planning."
The Charismatic Voice,Voice / reaction / pedagogy,YouTube / courses,public YouTube profile proxy; exact count should be refreshed before campaign use,Not validated,Needs validation,English / US,"Singers, music fans",Reaction and vocal pedagogy layer that shapes casual music curiosity.,Watchlist,https://www.youtube.com/@TheCharismaticVoice,Medium,2026-06-13,Yousician owner TBD,Public YouTube profile/source proxy available,Pending platform export,Pending platform export,1/3 fields populated with usable public proxy,"Refresh exact YouTube subscriber count, TikTok/Instagram reach and average views from platform/social analytics before campaign planning."
Jared Dines,Guitar / entertainment,YouTube,public YouTube profile proxy; exact count should be refreshed before campaign use,Not validated,Needs validation,English / US,"Guitar culture, rock/metal fans",Large music entertainment creator influencing guitar culture.,Watchlist,https://www.youtube.com/@JaredDines,Medium,2026-06-13,Yousician owner TBD,Public YouTube profile/source proxy available,Pending platform export,Pending platform export,1/3 fields populated with usable public proxy,"Refresh exact YouTube subscriber count, TikTok/Instagram reach and average views from platform/social analytics before campaign planning."
