claim_id,entity,claim_type,claim,source_url,source_confidence,hard_claim,review_action,last_checked_date
CL-0001,Simply,Key-player relevance,"Useful benchmark for onboarding, motivation, pricing, and growth in app-based music education.",https://www.hellosimply.com/simply-guitar,Pending,No,Keep as synthesis unless source changes.,2026-06-11
CL-0002,Simply,Ownership / investors,Simply Ltd,https://www.hellosimply.com/simply-guitar,Pending,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0003,Ultimate Guitar,Key-player relevance,Strong influence on how hobbyists discover songs and move from inspiration to practice.,https://www.ultimate-guitar.com/about/,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0004,Ultimate Guitar,Ownership / investors,Muse Group,https://www.ultimate-guitar.com/about/,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0005,Fender Play,Key-player relevance,"Shows how instrument makers can extend into software, subscriptions, and beginner journeys.",https://www.fender.com/play,Pending,No,Keep as synthesis unless source changes.,2026-06-11
CL-0006,Fender Play,Ownership / investors,Fender,https://www.fender.com/play,Pending,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0007,Flowkey,Key-player relevance,"Important benchmark for piano learning, catalog positioning, and conversion mechanics.",https://www.flowkey.com/en,Pending,No,Keep as synthesis unless source changes.,2026-06-11
CL-0008,Flowkey,Ownership / investors,"flowkey GmbH; Yamaha is a hardware-promotion partner, not shown here as owner",https://www.flowkey.com/en,Pending,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0009,JustinGuitar,Key-player relevance,Shows the power of trusted teachers and free content in shaping learner behavior.,https://www.justinguitar.com/,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0010,JustinGuitar,Ownership / investors,Independent,https://www.justinguitar.com/,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0011,Fender,Key-player relevance,Instrument brands can shape the beginner funnel before users choose a learning app.,https://www.fender.com/play,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0012,Fender,Ownership / investors,Private,https://www.fender.com/play,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0013,Yamaha,Key-player relevance,"Influences hardware access, music education channels, and partner possibilities.",https://www.yamaha.com/en/products-services/,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0014,Yamaha,Ownership / investors,Public company,https://www.yamaha.com/en/products-services/,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0015,BandLab,Key-player relevance,Represents the shift from learning an instrument to making and sharing music quickly.,https://www.bandlab.com/?lang=en,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0016,BandLab,Ownership / investors,BandLab Technologies,https://www.bandlab.com/?lang=en,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0017,Splice,Key-player relevance,Shows how hobbyists and creators pay for tools that accelerate making music.,https://splice.com/,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0018,Splice,Ownership / investors,Private,https://splice.com/,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0019,Suno,Key-player relevance,"May shift the meaning of music participation, motivation, and creation for casual users.",https://suno.com/about,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0020,Suno,Ownership / investors,Private,https://suno.com/about,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0021,Udio,Key-player relevance,"Important to understand whether AI creation competes with, complements, or expands music learning.",https://www.udio.com/,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0022,Udio,Ownership / investors,Private,https://www.udio.com/,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0023,Moises,Key-player relevance,Strong example of AI improving practice workflows without replacing instrument learning.,https://moises.ai/,Medium,No,Keep as synthesis unless source changes.,2026-06-11
CL-0024,Moises,Ownership / investors,Private,https://moises.ai/,Medium,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0025,Duolingo,Key-player relevance,"Not music-specific, but highly relevant for learning loops, retention, brand, and AI in education.",https://investors.duolingo.com/investor-relations,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0026,Duolingo,Ownership / investors,Public company,https://investors.duolingo.com/investor-relations,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
