player_id,player_name,confirmed_owner,confirmed_relationship,relationship_status,sensitivity,last_contact_date,suggested_next_step,notes,external_market_relevance,source_url,last_checked_date
simply,Simply,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Useful benchmark for onboarding, motivation, pricing, and growth in app-based music education.",https://www.hellosimply.com/simply-guitar,2026-06-11
ultimate-guitar,Ultimate Guitar,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,Strong influence on how hobbyists discover songs and move from inspiration to practice.,https://www.ultimate-guitar.com/about/,2026-06-11
fender-play,Fender Play,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Shows how instrument makers can extend into software, subscriptions, and beginner journeys.",https://www.fender.com/play,2026-06-11
flowkey,Flowkey,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Important benchmark for piano learning, catalog positioning, and conversion mechanics.",https://www.flowkey.com/en,2026-06-11
justinguitar,JustinGuitar,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,Shows the power of trusted teachers and free content in shaping learner behavior.,https://www.justinguitar.com/,2026-06-11
fender,Fender,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,Instrument brands can shape the beginner funnel before users choose a learning app.,https://www.fender.com/play,2026-06-11
yamaha,Yamaha,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Influences hardware access, music education channels, and partner possibilities.",https://www.yamaha.com/en/products-services/,2026-06-11
bandlab,BandLab,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,Represents the shift from learning an instrument to making and sharing music quickly.,https://www.bandlab.com/?lang=en,2026-06-11
splice,Splice,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,Shows how hobbyists and creators pay for tools that accelerate making music.,https://splice.com/,2026-06-11
suno,Suno,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"May shift the meaning of music participation, motivation, and creation for casual users.",https://suno.com/about,2026-06-11
