date,move_type,player_or_signal,what_happened,why_it_matters_for_yousician,source_id,source_url,confidence,category_mapping,last_checked_date,news_grade,include_in_board_timeline,curation_note
2024-06-20,Product / guitar learning,Rocksmith+,Rocksmith+ continued cross-platform subscription positioning for learning real songs with real instruments.,Game-backed instrument learning remains an adjacent route for habit formation.,rocksmith_plus_official,https://www.ubisoft.com/en-us/game/rocksmith/plus,Medium,Music learning apps and platforms,2026-06-11,C,Appendix only,"Useful context, but weaker as a 'who made the news' item."
2024-06-24,AI rights / litigation,Suno / Udio / RIAA,Major record companies filed copyright infringement cases against Suno and Udio.,"AI music moved from novelty to rights, licensing and board-level risk.",riaa_suno_udio_2024,https://www.riaa.com/record-companies-bring-landmark-cases-for-responsible-ai-againstsuno-and-udio-in-boston-and-new-york-federal-courts-respectively/,High,AI companies and AI initiatives,2026-06-11,A,Yes,News-grade event
2024-07-15,Practice utility,Chord ai,"Chord ai public listings positioned AI chord, beat and song-structure recognition as a play-any-song utility.",AI song parsing reduces friction between inspiration and practice.,chord_ai_public,https://chordai.net/,Medium,Music hobby software ecosystem,2026-06-11,C,Appendix only,"Useful context, but weaker as a 'who made the news' item."
2024-08-01,Policy / AI governance,European Union AI Act,"The EU AI Act entered into force, with transparency rules for AI-generated content and GPAI obligations phasing in.",EU AI transparency and copyright compliance expectations matter for AI-enabled music learning and creation tools.,eu_ai_act_2024,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,High,AI companies and AI initiatives,2026-06-11,A,Yes,News-grade event
2024-09-24,Platform move,TikTok Music,TikTok announced it would shut down TikTok Music and focus on music discovery in the main TikTok app.,Music discovery power remains in social platforms even when full streaming products retreat.,tiktok_music_shutdown_2024,https://www.businessinsider.com/tiktok-abandoning-plan-to-challenge-spotify-apple-in-music-streaming-2024-9,Medium,"Media, publishers and cultural drivers",2026-06-11,B,Yes,News-grade event
2024-09-25,Hardware + software bundle,Duolingo / Loog,Duolingo Music was linked to a beginner-friendly portable piano product with Loog.,Consumer learning platforms are testing physical beginner bundles.,duolingo_loog_2024,https://www.theverge.com/2024/9/25/24253932/duolingo-loog-portable-green-piano-music-lessons,Medium,Wider education and self-improvement ecosystem,2026-06-11,B,Yes,News-grade event
2024-10-01,Education / apps,ABRSM,"ABRSM's 2024 impact report quantified global exams, qualifications and teacher support.","Formal assessment bodies still shape parent, teacher and serious-learner trust.",abrsm_impact_2024,https://www.abrsm.org/sites/default/files/2024-09/Impact%20Report%202024%20FINAL.pdf,High,"Teachers, schools and music education organizations",2026-06-11,A,Yes,News-grade event
2024-11-12,AI product experiment,YouTube Dream Track,YouTube tested AI restyling of licensed songs for Shorts using Dream Track technology.,Short-form video platforms are turning licensed music into editable creator material.,youtube_ai_restyle_2024,https://www.theverge.com/2024/11/12/24294891/youtube-ai-restyle-music-creators,Medium,AI companies and AI initiatives,2026-06-11,B,Yes,News-grade event
2024-11-15,Marketplace closure,Microsoft TakeLessons,"Microsoft's TakeLessons marketplace closed, with account access ending in November 2024.",Online lesson marketplaces remain fragile; teacher acquisition and continuity are strategic surfaces.,takelessons_closure_2024,https://learn.microsoft.com/en-us/takelessons/takelessons-closure-faq,High,"Teachers, schools and music education organizations",2026-06-11,A,Yes,News-grade event
2025-01-15,Publishing / rights,Muse Group / Hal Leonard,Muse Group unified Hal Leonard US and Europe into a global publishing operation.,"Song rights, notation, tabs and learning content are becoming more ecosystem-controlled.",muse_hal_leonard_2025,https://www.mu.se/posts/muse-group-unifies-hal-leonard-us-and-hal-leonard-europe-into-a-global-powerhouse,Medium,"Media, publishers and cultural drivers",2026-06-11,B,Yes,News-grade event
