source_id,title,source_type,url,source_confidence,source_status,used_in,last_checked_date
www_hellosimply_com_simply_guitar,Simply,Public source / proxy,https://www.hellosimply.com/simply-guitar,Pending,URL collected; factual claims limited to source-backed statements.,Music learning apps and platforms,2026-06-11
www_ultimate_guitar_com_about,Ultimate Guitar,Public source / proxy,https://www.ultimate-guitar.com/about/,Low,URL collected; factual claims limited to source-backed statements.,Music hobby software ecosystem,2026-06-11
www_fender_com_play,Fender Play,Public source / proxy,https://www.fender.com/play,High,Official Fender product page supports Fender Play as Fender product surface.,"Music learning apps and platforms; Instrument brands, manufacturers and distributors",2026-06-13
www_flowkey_com_en,Flowkey,Public source / proxy,https://www.flowkey.com/en,Medium,Official flowkey source validates product/company surface; ownership/investor history still needs registry or paid database validation.,Music learning apps and platforms,2026-06-13
www_justinguitar_com,JustinGuitar,Public source / proxy,https://www.justinguitar.com/,Medium,Official JustinGuitar site validates product/educator identity; ownership/investor history is not used as a main narrative claim.,Music hobby software ecosystem; v3 database,2026-06-13
www_yamaha_com_en_products_services,Yamaha,Public source / proxy,https://www.yamaha.com/en/products-services/,Low,URL collected; factual claims limited to source-backed statements.,"Instrument brands, manufacturers and distributors",2026-06-11
www_bandlab_com,BandLab,Public source / proxy,https://www.bandlab.com/?lang=en,Low,URL collected; factual claims limited to source-backed statements.,Music hobby software ecosystem; Creation platform,2026-06-11
splice_com,Splice,Public source / proxy,https://splice.com/,Medium,Official Splice source validates product/company surface; private ownership and investor history should use paid-database or direct validation.,Music hobby software ecosystem,2026-06-13
suno_com_about,Suno,Public source / proxy,https://suno.com/about,Low,URL collected; factual claims limited to source-backed statements.,AI companies and AI initiatives,2026-06-11
www_udio_com,Udio,Public source / proxy,https://www.udio.com/,Low,URL collected; factual claims limited to source-backed statements.,AI companies and AI initiatives,2026-06-11
moises_ai,Moises,Public source / proxy,https://moises.ai/,Medium,URL collected; factual claims limited to source-backed statements.,AI companies and AI initiatives,2026-06-11
investors_duolingo_com_investor_relations,Duolingo,Public source / proxy,https://investors.duolingo.com/investor-relations,Low,URL collected; factual claims limited to source-backed statements.,"Teachers, schools and music education organizations / wider education",2026-06-11
www_guitartricks_com,Guitar Tricks,Public source / proxy,https://www.guitartricks.com/,Pending,URL collected; factual claims limited to source-backed statements.,Music learning apps and platforms,2026-06-11
www_pickupmusic_com,Pickup Music,Public source / proxy,https://www.pickupmusic.com/,Medium,URL collected; factual claims limited to source-backed statements.,Music learning apps and platforms,2026-06-11
www_ubisoft_com_en_us_game_rocksmith_plus,Rocksmith+,Public source / proxy,https://www.ubisoft.com/en-us/game/rocksmith/plus,Low,URL collected; factual claims limited to source-backed statements.,Music learning apps and platforms; Music / Games,2026-06-11
www_gibson_app,Gibson App,Public source / proxy,https://www.gibson.app/,Medium,Official Gibson App source supports branded product; legal operator/ownership should not be simplified without app-store or contract validation.,Music learning apps and platforms; Music / Education,2026-06-13
chordify_net,Chordify,Public source / proxy,https://chordify.net/,Medium,Official Chordify source validates product identity; deeper corporate ownership requires registry or paid-database validation.,Music hobby software ecosystem; Music,2026-06-13
artists_youtube,YouTube,Public source / proxy,https://artists.youtube/,Low,URL collected; factual claims limited to source-backed statements.,Music hobby software ecosystem,2026-06-11
www_gibson_com,Gibson,Public source / proxy,https://www.gibson.com/,High,Official Gibson site links to Gibson App; app-store/legal operator details should be used for precise ownership wording.,"Instrument brands, manufacturers and distributors",2026-06-13
www_positivegrid_com,Positive Grid,Public source / proxy,https://www.positivegrid.com/,High,Official Positive Grid site footer and product pages validate company/product identity.,"Instrument brands, manufacturers and distributors",2026-06-13
www_image_line_com,FL Studio,Public source / proxy,https://www.image-line.com/,Low,URL collected; factual claims limited to source-backed statements.,Music hobby software ecosystem,2026-06-11
elevenlabs_io_music,ElevenLabs Music,Public source / proxy,https://elevenlabs.io/music,Low,URL collected; factual claims limited to source-backed statements.,AI companies and AI initiatives,2026-06-11
artists_spotify_com_en_home,Spotify for Artists,Public source / proxy,https://artists.spotify.com/en/home,Low,URL collected; factual claims limited to source-backed statements.,"Investors, media, awards, funding and cultural drivers; Artist platform",2026-06-11
artists_tiktok_com,TikTok for Artists,Public source / proxy,https://artists.tiktok.com/,Low,URL collected; factual claims limited to source-backed statements.,"Investors, media, awards, funding and cultural drivers",2026-06-11
www_musora_com,Musora,Public source / proxy,https://www.musora.com/,Low,URL collected; factual claims limited to source-backed statements.,Music learning apps and platforms; Education; Online lesson ecosystem,2026-06-11
fretello_com_app,Fretello,Public source / proxy,https://fretello.com/app/,Medium,Official Fretello source validates product identity; full ownership/investor history remains direct-validation work.,Music learning apps and platforms,2026-06-13
apps_apple_com_us_app_chord_ai_play_any_song_id1446177109,Chord ai,Public source / proxy,https://apps.apple.com/us/app/chord-ai-play-any-song/id1446177109,Pending,URL collected; factual claims limited to source-backed statements.,Music hobby software ecosystem,2026-06-11
play_google_com_store_apps_details,Simply,Public source / proxy,https://play.google.com/store/apps/details?hl=en_US&id=com.joytunes.simplyguitar,Pending,URL collected; factual claims limited to source-backed statements.,Education; Education; Music; Practice ecosystem; Notation ecosystem,2026-06-11
www_hellosimply_com,Simply,Public source / proxy,https://www.hellosimply.com/,Pending,URL collected; factual claims limited to source-backed statements.,Education,2026-06-11
apps_apple_com_us_app_flowkey_learn_to_play_piano_id1020357408,Flowkey,Public source / proxy,https://apps.apple.com/us/app/flowkey-learn-to-play-piano/id1020357408,Pending,URL collected; factual claims limited to source-backed statements.,Education,2026-06-11
apps_apple_com_us_app_fender_play_learn_guitar_id1226057939,Fender Play,Public source / proxy,https://apps.apple.com/us/app/fender-play-learn-guitar/id1226057939,Pending,URL collected; factual claims limited to source-backed statements.,Education,2026-06-11
apps_apple_com_us_app_moises_the_musicians_app_id1515796612,Moises,Public source / proxy,https://apps.apple.com/us/app/moises-the-musicians-app/id1515796612,Pending,URL collected; factual claims limited to source-backed statements.,Music,2026-06-11
