record_type,id,product_scope,title_or_headline,summary,source_title,source_url,source_status,last_checked,confidence,usage
status,research_layer,cross-product,Local research layer loaded,"Installed find-user-research skill is available locally. Live Confluence import is blocked by Atlassian login in this session, so the dashboard uses durable local research context until authenticated access is available.",Yousician User Research Database,https://yousician.atlassian.net/wiki/spaces/Research/database/5904400385,blocked_by_atlassian_login,2026-06-10,Local context only,"Used to label dashboard research layer and prevent overclaiming live internal import."
study,research_yousician_foundational,Yousician,Foundational Knowledge of Yousician Users,Yousician users motivations pain points and learning needs.,Foundational Knowledge of Yousician Users,https://yousician.atlassian.net/wiki/spaces/Research/pages/6040158226,auth-required,2026-06-10,High when authenticated,"Used for Yousician product lens and learning category anchors."
study,research_guitartuna_foundational,GuitarTuna,Foundational Knowledge of GuitarTuna Users,GuitarTuna users self-guided practice songs and product expectations.,Foundational Knowledge of GuitarTuna Users,https://yousician.atlassian.net/wiki/spaces/Research/pages/6040977421,auth-required,2026-06-10,High when authenticated,"Used for GuitarTuna product lens and practice / creation anchors."
study,research_market_cross_product,cross-product,Market Research for both Yousician and GuitarTuna,Music hobby market category awareness competitors and guitar motivations.,Market Research for both Yousician and GuitarTuna,https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456,auth-required,2026-06-10,High when authenticated,"Used for shared lens market principles and competitor/player anchors."
market_principle,principle_1,cross-product,Song-led learning,"Music learning is heavily song-led: users want to learn, repeat, remember, and play songs they care about.",Market Research for both Yousician and GuitarTuna,https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456,auth-required,2026-06-10,Local summary,"Used in product-lens research note and player profiles."
market_principle,principle_2,cross-product,Beginner guidance and independence,"Beginner guitar users need guidance, direction, feedback, and confidence, but many also want to feel independent.",Market Research for both Yousician and GuitarTuna,https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456,auth-required,2026-06-10,Local summary,"Used in shared Yousician/GuitarTuna interpretation."
market_principle,principle_3,cross-product,Low category brand awareness,The category has low brand awareness and no clearly dominant learning brand beyond broad platforms like YouTube.,Market Research for both Yousician and GuitarTuna,https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456,auth-required,2026-06-10,Local summary,"Used to interpret YouTube and broad market influence."
market_principle,principle_4,cross-product,Restarting behavior,"Restarting is normal; many people pause and come back to guitar when life, time, motivation, or method changes.",Market Research for both Yousician and GuitarTuna,https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456,auth-required,2026-06-10,Local summary,"Used to interpret retention, habit and beginner-market signals."
player_anchor,simply,Yousician,Direct competitor lens from market research,"Simply Guitar is called out as a growing reference competitor whose success appears tied to emotional UX, a consistent teacher character, and song-focused courses.",Market Research for both Yousician and GuitarTuna,https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456,auth-required,2026-06-10,Local summary needs page-level verification,"Used in Simply profile research anchor."
player_anchor,ultimate-guitar,GuitarTuna,Song discovery and tab habit owner,"Ultimate Guitar is described as a vast chords/tabs library and search leader, but users can experience it as cluttered and weak for beginner support.",Market Research for both Yousician and GuitarTuna,https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456,auth-required,2026-06-10,Local summary needs page-level verification,"Used in Ultimate Guitar profile research anchor."
