driver,type,current_signal,audience_reach,why_it_matters_for_yousician,source_url,source_confidence,last_checked_date
Guitar World,Specialist media,"Guitar reviews, artists, technique and gear news.",Large guitar enthusiast audience; exact reach pending.,"Shapes guitar aspiration, gear discovery and creator credibility.",https://www.guitarworld.com/,Medium,2026-06-11
MusicRadar,Specialist media,"Music tech, guitar, production and instrument coverage.",Large Future plc music-tech audience; exact reach pending.,Tracks product launches and practical creator-tool adoption.,https://www.musicradar.com/,Medium,2026-06-11
MusicTech,Specialist media,"Music technology, production and industry coverage.",Global music-tech media; exact reach pending.,"Good signal for AI, creation tools and production culture.",https://musictech.com/,Medium,2026-06-11
Billboard,Music industry media,"Charts, music business and artist culture.",Major US/global music industry publication.,Indicates mainstream cultural and business relevance.,https://www.billboard.com/,High,2026-06-11
Music Business Worldwide,Music business media,"Rights, funding, AI, labels and music business news.",Highly relevant industry readership; exact reach pending.,"Strong source for funding, M&A and rights developments.",https://www.musicbusinessworldwide.com/,High,2026-06-11
Music Ally,Music business intelligence,"Music-tech, digital music and artist marketing analysis.",Subscription intelligence audience; exact reach pending.,Useful for deeper monitoring and trend validation.,https://musically.com/,Medium,2026-06-11
MIDiA Research,Research firm,"Consumer, media, music and creator-economy research.",Paid research provider; exact report access required.,"Useful for sizing, behavior shifts and investor/board context.",https://www.midiaresearch.com/,Medium,2026-06-11
Luminate,Music data provider,"Streaming, sales and entertainment consumption data.",Industry data infrastructure provider.,Can validate catalog demand and song-level culture shifts.,https://luminatedata.com/,High,2026-06-11
Chartmetric,Music analytics,"Artist, playlist, social and streaming analytics.",Industry analytics platform.,Helps connect social momentum to music demand and learner interest.,https://chartmetric.com/,High,2026-06-11
TikTok,Short-form platform,"Music discovery, creator trends, Add to Music App and artist analytics.",Massive global platform; public company-level MAU requires validation.,"Strong influence on what beginners want to sing, play or learn.",https://newsroom.tiktok.com/en-us/tiktok-for-artists-launches,High,2026-06-11
YouTube,Video / creator platform,"Lessons, creator educators, Shorts, AI music experiments and music streaming.",Massive global platform; exact music-learning reach requires platform analytics.,Primary distribution layer for free music learning and creator trust.,https://musicai.withyoutube.com/,High,2026-06-11
Spotify for Artists,Artist platform,"Artist analytics, Campaign Kit, merch, tickets and fan development.",Major artist infrastructure layer.,Influences advanced hobbyists and creator identity.,https://artists.spotify.com/en/home,High,2026-06-11
Ultimate Guitar song demand,Practice ecosystem,"Tabs, chords and song-practice demand.",Google Play public proxy: 10M+ downloads and 627K reviews.,Strong proxy for what guitarists want to play.,https://play.google.com/store/apps/details?hl=en_US&id=com.ultimateguitar.tabs,Medium,2026-06-11
MuseScore repertoire demand,Notation ecosystem,"Sheet music, notation and score discovery.",Google Play public proxy: 10M+ downloads; app listing references 3M+ scores.,Influences advancing learners and multi-instrument repertoire.,https://play.google.com/store/apps/details?hl=en_US&id=com.musescore.playerlite,Medium,2026-06-11
Songsterr tab demand,Practice ecosystem,"Interactive tabs, playback and song-led practice.",Apple public proxy: 42K ratings; app listing claims large tab catalog.,Captures frictionless play-along practice intent.,https://apps.apple.com/us/app/songsterr-tabs-chords/id399211291,Medium,2026-06-11
BandLab creator community,Creation platform,"Mobile/web creation, collaboration, AI tools and community.",Official public proxy: 100M+ creators and fans.,Represents the create/share route after or instead of instrument learning.,https://www.bandlab.com/?lang=en,High,2026-06-11
Splice creator workflow,Creator tools,"Samples, AI tools, plugins and creator compensation model.",MBW/FT public proxies: paid subscriber and revenue details require source-specific validation.,Shows where hobby creation becomes paid tooling.,https://splice.com/innovation,Medium,2026-06-11
NPR Tiny Desk,Cultural media,Live music performance format and viral discovery.,Major cultural music format; exact reach by video varies.,"Can create beginner interest around artists, instruments and performance.",https://www.npr.org/series/tiny-desk-concerts/,Medium,2026-06-11
