organization,type,what_they_are,size_reach,region,why_they_matter,relationship_potential,source_url,source_confidence,last_checked_date,owner_placeholder,yousician_relevance_tier,beginner_influence,priority_region,partnership_potential,next_validation_step
ABRSM,Exam board / charity,"Music exams, graded assessments, apps and teacher resources.","Official site states 650,000+ exams and assessments each year in 93 countries; 2024 report lists 445,229 qualifications in 2023/24.",Global / UK,"Shapes formal progression, parent trust and curriculum mapping.","Curriculum alignment, exam-prep pathways, teacher resources.",https://www.abrsm.org/,High,2026-06-11,Yousician owner TBD,High,High,Global / UK,"Curriculum alignment, exam-prep pathways, teacher resources.","Confirm regional relevance, current learner/teacher reach, and whether Yousician has an internal owner."
Trinity College London,Exam board,"Music grades, certificates, diplomas, Rock & Pop and digital exam routes.",Global exam board with 150+ years of assessment heritage.,Global / UK,Alternative formal benchmark with modern repertoire and digital exam options.,"Curriculum mapping, certification awareness, teacher partnerships.",https://www.trinitycollege.com/local-trinity/UK/a-modern-approach-to-music-exams,High,2026-06-11,Yousician owner TBD,High,High,Global / UK,"Curriculum mapping, certification awareness, teacher partnerships.","Confirm regional relevance, current learner/teacher reach, and whether Yousician has an internal owner."
RSL Awards / Rockschool,Exam board / qualifications,Contemporary graded music exams and creative-industry qualifications.,Global exam and qualification network; UK Music notes 150+ examiners/assessors/moderators.,Global / UK,"Important for guitar, drums, vocals and modern-music progression.",Contemporary syllabus alignment and teacher outreach.,https://www.rslawards.com/,High,2026-06-11,Yousician owner TBD,High,Medium,Global / UK,Contemporary syllabus alignment and teacher outreach.,"Confirm regional relevance, current learner/teacher reach, and whether Yousician has an internal owner."
Music Teachers National Association,Teacher association,US professional association for music teachers with certification and continuing education.,"Public profiles cite 17,000+ members across US state/local affiliates.",United States,"Private teachers influence learner choices, retention and app recommendations.","Teacher ambassador, research and certification awareness.",https://www.mtna.org/index.html,Medium,2026-06-11,Yousician owner TBD,High,Medium,United States,"Teacher ambassador, research and certification awareness.","Confirm regional relevance, current learner/teacher reach, and whether Yousician has an internal owner."
Berklee Online,Online music school,"Online degrees, certificates and courses taught by Berklee faculty and industry professionals.","Official FAQ: 30,000+ musicians from 140+ countries have taken courses; classes cap at 20.",Global / US,High-trust benchmark for instructor-led online music education.,"Course partnerships, instructor credibility and progression benchmarking.",https://online.berklee.edu/about/berklee-online,High,2026-06-11,Yousician owner TBD,High,Medium,Global / US,"Course partnerships, instructor credibility and progression benchmarking.","Confirm regional relevance, current learner/teacher reach, and whether Yousician has an internal owner."
School of Rock,Music school franchise,"Performance-based lessons, bands, camps and local schools.",Public social/current pages reference 400+ locations; official locator validates broad footprint.,Global / US-led,"Owns parent trust, accountability and local performance motivation.","Local referral, camp tie-ins, hybrid practice support.",https://www.schoolofrock.com/locations,Medium,2026-06-11,Yousician owner TBD,High,High,Global / US-led,"Local referral, camp tie-ins, hybrid practice support.","Confirm regional relevance, current learner/teacher reach, and whether Yousician has an internal owner."
Lessonface,Online lesson marketplace,"Vetted online music teachers, private lessons, group classes and masterclasses.",Marketplace with verified student reviews and live online format.,Global / US,Shows where teacher-led lessons move online after TakeLessons closure.,Teacher marketplace learning and referral patterns.,https://www.lessonface.com/home,Medium,2026-06-11,Yousician owner TBD,Medium,High,Global / US,Teacher marketplace learning and referral patterns.,"Confirm regional relevance, current learner/teacher reach, and whether Yousician has an internal owner."
TakeLessons,Closed lesson marketplace,"Former Microsoft-owned lesson marketplace, closed in November 2024.",Closure FAQ confirms account access ended 2024-11-15.,United States,Signals fragility and consolidation risk in lesson marketplaces.,Teacher migration signal; not an active relationship target.,https://learn.microsoft.com/en-us/takelessons/takelessons-closure-faq,High,2026-06-11,Yousician owner TBD,Medium,Medium,United States,Teacher migration signal; not an active relationship target.,"Confirm regional relevance, current learner/teacher reach, and whether Yousician has an internal owner."
Musora,Online lesson ecosystem,"Parent of Drumeo, Pianote, Guitareo and other creator-led lesson brands.",Large YouTube-led education ecosystem; exact membership requires validation.,Global / Canada,Strong example of creator-trust and multi-instrument subscription funnels.,"Benchmark for teacher-led content, community and membership.",https://www.musora.com/,Medium,2026-06-11,Yousician owner TBD,Medium,High,Global / Canada,"Benchmark for teacher-led content, community and membership.","Confirm regional relevance, current learner/teacher reach, and whether Yousician has an internal owner."
Pianote,Online piano lesson brand,Step-by-step piano video lessons with real teachers and support.,Public site and YouTube proxies show large reach; exact paid base pending.,Global / Canada,Competes with piano apps through human-teacher trust and YouTube funnels.,Creator collaboration and piano pedagogy benchmark.,https://www.pianote.com/,Medium,2026-06-11,Yousician owner TBD,Medium,High,Global / Canada,Creator collaboration and piano pedagogy benchmark.,"Confirm regional relevance, current learner/teacher reach, and whether Yousician has an internal owner."
