player_id,name,entity_kind,category_id,category_name,strategic_layer,type,subcategory,geography,reach,business_model,ownership_or_investors,ai_signal,ai_score,relevance,momentum,key_player,relationship,why_they_matter,description,recent_or_next_check,tags,source_status,source_needs,research_owner,requires_credentialed_data,is_signal_only,evidence_summary,source_ids,source_titles,source_urls,open_questions
simply,Simply,Company / product,learning,Learning apps & curricula,Core market,Direct learning app,App-based guitar and music learning,Global,Large consumer app,Subscription learning app,Simply Ltd,Potential personalization and practice feedback research target,3,5,4,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Useful benchmark for onboarding, motivation, pricing, and growth in app-based music education.",Mobile-first music learning platform and direct reference point for casual learners.,"Track rankings, revenue estimates, product launches, and funding or ownership signals.",direct competitor | consumer app | subscription,Public product/developer sources linked; needs Appfigures,Appfigures | Crunchbase | Company source,Competitive intel,TRUE,FALSE,"Simply evidence now combines official product pages, developer/app-store portfolio pages, and Yousician market research; this better supports company identity, app portfolio, and direct music-learning overlap.",simply_guitar | simply_home | research_market_cross_product | simply_google_play_dev | simply_app_store_dev,Simply Guitar product page | Simply product family | Market Research for both Yousician and GuitarTuna | Simply Ltd on Google Play | Simply Ltd on App Store,https://www.hellosimply.com/simply-guitar | https://www.hellosimply.com/ | https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456 | https://play.google.com/store/apps/dev?hl=en_US&id=9173704920238080377 | https://apps.apple.com/us/developer/simply-ltd/id492065449,App performance and revenue trend | Ownership/investor history beyond public developer pages | Current growth by geography
ultimate-guitar,Ultimate Guitar,Company / product,practice,Song & practice ecosystems,Core habit layer,Song-practice ecosystem,"Tabs, chords, song discovery, and practice habits",Global,Large global music community,"Freemium, subscription, ads",Muse Group,"Research AI-assisted discovery, practice, and content workflow signals",3,5,4,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Strong influence on how hobbyists discover songs and move from inspiration to practice.,"Tab, chord, song, and musician community ecosystem for guitar players.","Monitor product bundles, community growth, and AI-assisted music tooling.",community | tabs | guitar,Needs traffic + app data check,Appfigures | Similarweb | Company source,Practice & content,TRUE,FALSE,"Ultimate Guitar evidence now includes Muse Group ownership/scale context plus Google Play app evidence for tabs, chords, practice tools, and multi-instrument use.",ultimate_guitar_about | muse_group | research_market_cross_product | ultimate_guitar_google_play | muse_group_ultimate_guitar,Ultimate Guitar About | Muse Group ecosystem | Market Research for both Yousician and GuitarTuna | Ultimate Guitar on Google Play | Ultimate Guitar by Muse Group,https://www.ultimate-guitar.com/about/ | https://www.mu.se/ | https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456 | https://play.google.com/store/apps/details?hl=en_US&id=com.ultimateguitar.tabs | https://www.mu.se/ultimate-guitar,Current traffic split by web/app | Recent monetization and AI product direction | Impact of Muse Group bundling
fender-play,Fender Play,Company / product,learning,Learning apps & curricula,Core market,Brand-backed learning app,"Guitar, bass, and ukulele learning",Global,Brand-backed learning app,Subscription and brand ecosystem,Fender,Confirmed app feedback surface; broader AI/connected-instrument roadmap remains a monitoring hypothesis,2,4,3,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Shows how instrument makers can extend into software, subscriptions, and beginner journeys.",Learning product connected to one of the strongest guitar brands.,Track product packaging with Fender hardware and beginner campaigns.,brand | guitar | learning,Official Fender/app sources linked; needs Appfigures + bundle performance; AI roadmap not confirmed,Appfigures | Company source,Competitive intel,TRUE,FALSE,"Fender Play is now supported by app-store sources plus the official Fender Play page and internal market research; public evidence validates guitar/bass/ukulele lessons and app positioning, while Appfigures is still needed for performance.",fender_play | research_market_cross_product | fender_play_app_store | fender_play_google_play,Fender Play | Market Research for both Yousician and GuitarTuna | Fender Play on App Store | Fender Play on Google Play,https://www.fender.com/play | https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456 | https://apps.apple.com/us/app/fender-play-learn-guitar/id1226057939 | https://play.google.com/store/apps/details?hl=en_US&id=com.fender.play,Current app performance and revenue | Hardware bundle and Samsung/TV expansion impact | Retention vs Yousician guitar-learning journeys
flowkey,Flowkey,Company / product,learning,Learning apps & curricula,Core market,Instrument learning app,Piano learning benchmark,Global,Established piano app,Subscription,"flowkey GmbH; Yamaha is a hardware-promotion partner, not shown here as owner",Confirmed feedback/product-learning surface; AI content generation remains a monitoring hypothesis,2,4,3,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Important benchmark for piano learning, catalog positioning, and conversion mechanics.","Piano learning app focused on songs, guided lessons, and practice support.","Track app performance, catalog updates, and partnership moves.",piano | learning | subscription,Public product/app/partner sources linked; needs Appfigures,Appfigures | Company source,Competitive intel,TRUE,FALSE,"flowkey evidence now combines official product, app-store, and Yamaha partnership sources validating piano learning, feedback, song-led practice, and hardware-partner distribution.",flowkey_official | flowkey_google_play | flowkey_yamaha | yamaha_flowkey_promo,flowkey piano learning app | flowkey on Google Play | flowkey and Yamaha partnership | Yamaha flowkey promotion,https://www.flowkey.com/en | https://play.google.com/store/apps/details?hl=en_US&id=com.flowkey.app | https://www.flowkey.com/en/yamaha | https://usa.yamaha.com/promotions/flowkey/index.html,Current app ranking and revenue | Exact company ownership structure | Yamaha partnership conversion impact
skoove,Skoove,Company / product,learning,Learning apps & curricula,Core market,Instrument learning app,Piano learning benchmark,Global,Established piano app,Subscription,Skoove,Research feedback and adaptive practice signals,2,4,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Relevant for piano pedagogy, app store positioning, and paid acquisition benchmarks.",Digital piano learning platform for beginner and intermediate players.,Track app ranking and subscription signals.,piano | learning,Public product/app sources linked; needs Appfigures,Appfigures | Company source,Competitive intel,TRUE,FALSE,"Skoove evidence now includes official web, Google Play, and App Store sources validating AI listening, piano lessons, feedback, and app-store positioning.",skoove_official | skoove_google_play | skoove_app_store,Skoove piano learning app | Skoove on Google Play | Skoove on App Store,https://www.skoove.com/en | https://play.google.com/store/apps/details?hl=en_US&id=com.skoove.piano | https://apps.apple.com/us/app/skoove-learn-to-play-piano/id1160668178,Ownership and funding | Current app performance | B2C vs partnership motion
justinguitar,JustinGuitar,Company / product,practice,Song & practice ecosystems,Core habit layer,Creator-led practice ecosystem,"Trusted guitar teacher, free lessons, app, and course funnel",Global,Large creator-led audience,"Free content, courses, app, community",Independent,Research how creator-led learning uses AI-assisted practice or content,2,4,3,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Shows the power of trusted teachers and free content in shaping learner behavior.,Influential guitar educator with a broad online learning footprint.,"Monitor audience growth, course/app strategy, and partnerships.",creator | guitar | teacher,Public app/site sources linked; needs audience data,Appfigures | Audience source | Company source,Practice & content,FALSE,FALSE,"Official website and app sources support creator-led guitar education, beginner curriculum, and play-along app positioning.",justinguitar_site | justinguitar_app,JustinGuitar | Justin Guitar App,https://www.justinguitar.com/ | https://justinguitarapp.com/,Current audience size | App conversion and course economics
artie-piano,Artie Piano,Company / product,learning,Learning apps & curricula,Core market,AI-native learning app,AI piano teacher and adaptive practice,To verify,Emerging,To verify,To verify,Likely research target for AI-native learning patterns,3,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Useful as an early signal for new product patterns in music learning.,Example emerging piano learning player from the brief.,"Validate product, traction, and positioning.",emerging | piano | watchlist,Public ArtMaster/app sources linked; needs traction validation,Appfigures | Company source,Competitive intel,FALSE,FALSE,"Artie evidence now combines ArtMaster product, review/explainer, and App Store sources for AI piano teacher positioning, real-time feedback, and emerging app presence.",artie_artmaster | artie_app_store | artie_review,Artie by ArtMaster | Artie on App Store | Artie piano app review by ArtMaster,https://www.artmaster.com/artie | https://apps.apple.com/us/app/artie-learn-piano-with-ai/id6746756746 | https://www.artmaster.com/articles/artie-piano-app-review,Traction beyond app listing | Retention and paid conversion | Model/feedback quality against established piano apps
fender,Fender,Company / product,hardware,Hardware & retail channels,Acquisition layer,Hardware ecosystem,"Guitar brand, beginner gear, and learning extension",Global,Major global brand,"Hardware, software, subscriptions, content",Private,Research connected instrument and practice feedback initiatives,2,5,3,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Instrument brands can shape the beginner funnel before users choose a learning app.,"Iconic guitar brand with reach across aspiration, hardware, education, and artist culture.","Track software bundling, beginner bundles, retail partnerships, and learning pushes.",instrument | brand | partner,Public company/product sources linked; needs market validation,Company source,Partnerships,FALSE,FALSE,"Fender evidence now combines Fender Play, app-store presence, and market research to validate the brand-backed software path from hardware into learning.",fender_play | research_market_cross_product | fender_play_app_store | fender_play_google_play,Fender Play | Market Research for both Yousician and GuitarTuna | Fender Play on App Store | Fender Play on Google Play,https://www.fender.com/play | https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456 | https://apps.apple.com/us/app/fender-play-learn-guitar/id1226057939 | https://play.google.com/store/apps/details?hl=en_US&id=com.fender.play,Current beginner-bundle strategy | Retail and connected hardware partnerships | Internal relationship opportunities
yamaha,Yamaha,Company / product,hardware,Hardware & retail channels,Acquisition layer,Hardware and education ecosystem,"Instruments, audio, schools, and education infrastructure",Global,Major global brand,"Hardware, education, services",Public company,"Research smart instruments, learning integrations, and audio AI",2,4,3,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Influences hardware access, music education channels, and partner possibilities.",Large music instrument and audio company with broad education relevance.,Track connected instrument and education initiatives.,instrument | education | partner,Public company/product source linked; needs performance validation,Company source,Partnerships,FALSE,FALSE,"Official Yamaha sources validate instruments, audio, music education, schools, and broader group relevance.",yamaha_products | yamaha_education,Yamaha products and services | Yamaha Music Education,https://www.yamaha.com/en/products-services/ | https://usa.yamaha.com/education/index.html,Current digital-learning partnerships | Regional education priorities
thomann,Thomann,Channel / hardware,hardware,Hardware & retail channels,Acquisition layer,Retail channel,European gear purchase and beginner bundle surface,Europe,Large European music retailer,"Ecommerce, private label, content",Private,Research recommendation and content initiatives,1,4,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Retailers can influence purchase intent, bundles, learning referrals, and beginner journeys.",Major instrument retailer with reach at the moment learners buy gear.,"Monitor beginner bundles, learning content, and marketplace moves.",retail | channel | Europe,Public commerce/company sources linked; needs traffic data,Similarweb | Company source,Partnerships,TRUE,FALSE,"Thomann evidence now includes official retail and company-history sources validating European channel relevance, ownership context, and gear-purchase surface.",thomann_official | thomann_about,Thomann online music retail | Thomann about us,https://www.thomannmusic.com/ | https://www.thomannmusic.com/compinfo.html,Traffic and conversion behavior | Beginner-bundle behavior | Partnership openness
