profile_id,player,brief_category,influence_role,why_they_likely_matter,what_they_are,estimated_size_reach,ownership_investors,ai_or_recent_initiatives,last_24m_news,performance_data_status,source_confidence,primary_source_url,relationship_completion_status,next_validation_step,one_pager_status
KP-01,Simply,Music learning apps and platforms,Direct learning app,"Useful benchmark for onboarding, motivation, pricing, and growth in app-based music education.",Mobile-first music learning platform and direct reference point for casual learners.,Large consumer app,Simply Ltd,Potential personalization and practice feedback research target,No strong last-24-month news item mapped yet; monitor via source watchlist.,Simply Guitar - Learn Guitar: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.; Simply Piano: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Pending,https://www.hellosimply.com/simply-guitar,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-02,Ultimate Guitar,Music hobby software ecosystem,Song-practice ecosystem,Strong influence on how hobbyists discover songs and move from inspiration to practice.,"Tab, chord, song, and musician community ecosystem for guitar players.",Large global music community,Muse Group,"Research AI-assisted discovery, practice, and content workflow signals",No strong last-24-month news item mapped yet; monitor via source watchlist.,Ultimate Guitar: Chords & Tabs: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Low,https://www.ultimate-guitar.com/about/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-03,Fender Play,Music learning apps and platforms,Brand-backed learning app,"Shows how instrument makers can extend into software, subscriptions, and beginner journeys.",Learning product connected to one of the strongest guitar brands.,Brand-backed learning app,Fender,Confirmed app feedback surface; broader AI/connected-instrument roadmap remains a monitoring hypothesis,No strong last-24-month news item mapped yet; monitor via source watchlist.,Fender Play: Learn Guitar: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Pending,https://www.fender.com/play,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-04,Flowkey,Music learning apps and platforms,Instrument learning app,"Important benchmark for piano learning, catalog positioning, and conversion mechanics.","Piano learning app focused on songs, guided lessons, and practice support.",Established piano app,"flowkey GmbH; Yamaha is a hardware-promotion partner, not shown here as owner",Confirmed feedback/product-learning surface; AI content generation remains a monitoring hypothesis,No strong last-24-month news item mapped yet; monitor via source watchlist.,flowkey - Learn to Play Piano: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Pending,https://www.flowkey.com/en,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-05,JustinGuitar,Music hobby software ecosystem,Creator-led practice ecosystem,Shows the power of trusted teachers and free content in shaping learner behavior.,Influential guitar educator with a broad online learning footprint.,Large creator-led audience,Independent,Research how creator-led learning uses AI-assisted practice or content,No strong last-24-month news item mapped yet; monitor via source watchlist.,No app-performance row mapped; add if app-based.,Low,https://www.justinguitar.com/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-06,Fender,"Instrument brands, manufacturers and distributors",Hardware ecosystem,Instrument brands can shape the beginner funnel before users choose a learning app.,"Iconic guitar brand with reach across aspiration, hardware, education, and artist culture.",Major global brand,Private,Research connected instrument and practice feedback initiatives,2026-06-10: Fender Studio Pro update was reported to integrate Moises stem separation and a smart studio assistant.,No app-performance row mapped; add if app-based.,Low,https://www.fender.com/play,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-07,Yamaha,"Instrument brands, manufacturers and distributors",Hardware and education ecosystem,"Influences hardware access, music education channels, and partner possibilities.",Large music instrument and audio company with broad education relevance.,Major global brand,Public company,"Research smart instruments, learning integrations, and audio AI",No strong last-24-month news item mapped yet; monitor via source watchlist.,No app-performance row mapped; add if app-based.,Low,https://www.yamaha.com/en/products-services/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-08,BandLab,Music hobby software ecosystem,Creation and social platform,Represents the shift from learning an instrument to making and sharing music quickly.,Cloud music creation and collaboration ecosystem with strong creator and community signals.,Large creator community,BandLab Technologies,AI-assisted creation and creator workflow research target,2026-06-08: BandLab's help center updated SongStarter guidance for AI-generated song ideas. | 2025-02-01: BandLab continued to present itself as a 100M+ creator and fan platform.,BandLab Music Maker & Beats: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Low,https://www.bandlab.com/?lang=en,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-09,Splice,Music hobby software ecosystem,Creator marketplace,Shows how hobbyists and creators pay for tools that accelerate making music.,"Sample, sound, and creator workflow platform.",Large creator tool,Private,"AI search, generation, and workflow research target",2026-04-15: Splice announced generative AI tools tied to its creator compensation model. | 2025-10-02: Splice moved beyond samples with a cloud-connected instrument plugin drawing on Spitfire libraries. | 2025-04-28: Splice announced the acquisition of Spitfire Audio.,No app-performance row mapped; add if app-based.,Low,https://splice.com/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-10,Suno,AI companies and AI initiatives,AI creation disruptor,"May shift the meaning of music participation, motivation, and creation for casual users.",AI music generation platform that changes how non-musicians create complete songs.,High visibility AI platform,Private,Core AI music generation,2026-01-22: Menlo framed Suno as participatory music creation in its Series C thesis. | 2025-11-25: Warner Music Group and Suno announced a partnership and settlement path for licensed AI models. | 2025-11-19: Suno raised a $250M Series C at a $2.45B post-money valuation.,No app-performance row mapped; add if app-based.,Low,https://suno.com/about,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
