investor_fund,type,thesis,relevant_portfolio_companies,music_education_creator_ai_overlap,recent_relevant_deals,why_relevant_for_yousician,relationship_field,source_url,source_confidence,last_checked_date,owner_placeholder
Menlo Ventures,VC,"AI, consumer and enterprise technology.",Suno,AI music generation / consumer creation,Led Suno $250M Series C in 2025.,Relevant because AI music creation is now a major VC-backed consumer thesis.,Relationship status TBD,https://menlovc.com/perspective/the-future-of-music-is-participatory-leading-sunos-series-c/,High,2026-06-11,Yousician owner TBD
Lightspeed Venture Partners,VC,"Consumer, enterprise and AI scale companies.",Suno,AI / consumer / creator tools,Participated in Suno Series C.,Indicates mainstream venture appetite for participatory music creation.,Relationship status TBD,https://suno.com/blog/series-c-announcement,High,2026-06-11,Yousician owner TBD
Matrix Partners,VC,Early-stage technology and AI.,Suno,AI / consumer tools,Participated in Suno Series C.,Useful AI-music investor signal.,Relationship status TBD,https://suno.com/blog/series-c-announcement,High,2026-06-11,Yousician owner TBD
NVentures,Corporate VC,NVIDIA corporate venture arm investing in AI ecosystems.,Suno,AI infrastructure / generation,Participated in Suno Series C.,Shows strategic AI infrastructure interest in music generation.,Relationship status TBD,https://suno.com/blog/series-c-announcement,High,2026-06-11,Yousician owner TBD
Hallwood Media,Strategic investor,Music and entertainment investment.,Suno,Music / media / AI,Participated in Suno Series C.,Relevant as music-native capital enters generative AI.,Relationship status TBD,https://suno.com/blog/series-c-announcement,Medium,2026-06-11,Yousician owner TBD
Connect Ventures,Strategic VC,"CAA + NEA partnership investing in culture, commerce and technology.",Music.AI / Moises,Music / AI / creator tools,Led Music.AI $40M Series A with monashees.,Strong signal for practical musician AI tools.,Relationship status TBD,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,2026-06-11,Yousician owner TBD
monashees,VC,Brazilian VC investing in technology companies.,Music.AI / Moises,Music AI / LatAm / creator tools,Co-led Music.AI Series A.,Relevant to Moises and global AI musician-tool growth.,Relationship status TBD,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,2026-06-11,Yousician owner TBD
Samsung Next,Corporate VC,"Software, AI and platform investments tied to Samsung ecosystem.",Music.AI / Moises,On-device AI / audio / hardware,Participated in Music.AI Series A.,Relevant for embedded and on-device practice AI.,Relationship status TBD,https://www.recordoftheday.com/news-and-press/music-ai-the-company-behind-moises-raises-40m-in-series-a-funding-led-by-connect-ventures-and-monashees,Medium,2026-06-11,Yousician owner TBD
Kickstart,VC,Seed and early-stage technology.,Music.AI / Moises,AI / creator utilities,Participated in Music.AI Series A.,Useful as practical AI-tools investor signal.,Relationship status TBD,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,2026-06-11,Yousician owner TBD
Pelion Venture Partners,VC,Early-stage technology.,Music.AI / Moises,AI / creator utilities,Participated in Music.AI Series A.,Relevant for music AI utility investment mapping.,Relationship status TBD,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,2026-06-11,Yousician owner TBD
Toba Capital,VC,Enterprise and technology growth.,Music.AI / Moises,AI / creator tools,Participated in Music.AI Series A.,Relevant as AI audio moves beyond consumer apps to B2B/audio infrastructure.,Relationship status TBD,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,2026-06-11,Yousician owner TBD
Valutia,VC / investor,Technology investment.,Music.AI / Moises,AI / music tools,Participated in Music.AI Series A.,Watchlist investor around practical audio AI.,Relationship status TBD,https://music.ai/blog/press/music-ai-raises-40m-series-a/,Medium,2026-06-11,Yousician owner TBD
Accel,VC / growth,"Global venture capital across consumer, SaaS and marketplaces.",Simply / JoyTunes public history to validate,Consumer subscription apps / education,Existing v2 queue flags ownership/investor validation.,Relevant for consumer learning and subscription scaling patterns.,Relationship status TBD,https://www.accel.com/,Medium,2026-06-11,Yousician owner TBD
Prosus Ventures,VC / growth,"Consumer internet, education and marketplace investments.",BandLab,Creator platforms / education / consumer,Joined BandLab Series B per public coverage.,Relevant to scaled social creation and emerging-market consumer behavior.,Relationship status TBD,https://caldecottmusic.com/press/9953-bandlab-raises-us65m-series-b,Medium,2026-06-11,Yousician owner TBD
Vulcan Capital / Cercano,VC / family office,"Technology, media and growth investments.",BandLab,Creator community / music,Led BandLab Series B coverage in 2022.,Relevant for social music creation and long-horizon capital.,Relationship status TBD,https://techcrunch.com/2022/04/26/social-music-platform-bandlab-scores-65m-at-a-valuation-of-315-million/,Medium,2026-06-11,Yousician owner TBD
Caldecott Music Group,Strategic / holding company,"Music media, instruments and creator ecosystem.","BandLab, NME, Harmony, MONO",Music / creator / media,BandLab parent ecosystem and investor in Series B.,Relevant as a music-native ecosystem operator.,Relationship status TBD,https://caldecottmusic.com/press/9953-bandlab-raises-us65m-series-b,High,2026-06-11,Yousician owner TBD
Goldman Sachs Growth,Growth fund / merchant banking,Growth equity in software and scaled platforms.,Splice,Creator tools / software,Led Splice Series D per public coverage.,Relevant to scale economics and consolidation in music software.,Relationship status TBD,https://www.musicbusinessworldwide.com/splice-closes-55m-series-d-funding-round-led-by-goldman-sachs/,Medium,2026-06-11,Yousician owner TBD
